"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"52960","1.0","32","[""ART""]","8","""0/999""","","[""Heather M. Brooks-Shirey""]","""0/999""","100","[""DC 204""]","999","""Intro/Art History II""","151","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-0930""]","""Renaissance to the Present""","""Research""","2005"
"52961","1.0","126","[""BIO""]","27","""0/999""","126","[""Louis Henry Kermott""]","""0/999""","200","[""SC 278""]","999","""Human Anatomy & Physiol""","243","false","","4","""1/999""","""0/999""","""C""","20054","[""M-F 1000-1130""]","""Human Anatomy and Physiology""","""Research""","2005"
"52962","0.0","127","[""BIO""]","27","""0/999""","126","[""Louis Henry Kermott""]","""0/999""","200","[""SC 253""]","999","""Human Anatomy & Physiol L""","243","false","","4","""1/999""","""0/999""","""C""","20054","[""TTh 0100-0400PM""]","","""Lab""","2005"
"52963","1.0","192","[""CHEM""]","12","""0/999""","192","[""Patrick N. Riley""]","""0/999""","100","[""SC 374""]","999","""Struct Chem & Equilib""","125","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","""Structural Chemistry and Equilibrium""","""Research""","2005"
"52964","0.0","193","[""CHEM""]","12","""0/999""","192","[""Patrick N. Riley""]","""0/999""","100","[""SC 363""]","999","""Struct Chem & Equilib Lab""","125","false","","4","""0/999""","""0/999""","""O""","20054","[""MW 0100-0400PM""]","","""Lab""","2005"
"52965","1.0","196","[""CHEM""]","44","""0/999""","","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","247","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","","""Research""","2005"
"52966","0.25","199","[""CHEM""]","23","""0/999""","","[""Anthony T. Watson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","253","true","""A""","4","""0/999""","""0/999""","""C""","20054","[""MW 0100-0400PM""]","""Synthesis Laboratory""","""Lab""","2005"
"52967","0.25","199","[""CHEM""]","21","""0/999""","","[""Anthony T. Watson""]","""0/999""","200","[""SC 311""]","24","""Synthesis Lab""","253","true","""B""","4","""0/999""","""0/999""","""O""","20054","[""TTh 0100-0400PM""]","""Synthesis Laboratory""","""Lab""","2005"
"52968","1.0","256","[""ECON""]","4","""0/999""","","[""Steve Soderlind""]","""0/999""","100","[""RML 515""]","999","""Capitalism: Struggles""","113","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1230-0200PM""]","""Capitalism: The Struggle of Economic Ideas in History""","""Research""","2005"
"52969","1.0","406","[""ENGL""]","14","""0/999""","","[""Jan C. Hill""]","""0/999""","200","[""RML 525""]","999","""Children's Literature""","233","false","","4","""0/999""","""0/999""","""C""","20054","[""M-Th 0230-0400PM""]","""Children's and Young Adult Literature""","""Research""","2005"
"52970","1.0","413","[""ENGL""]","5","""0/999""","","[""Mary V. Winstead""]","""0/999""","200","[""RML 525""]","999","""Creative Wrtg: Non-Fic""","251","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1200-0200PM""]","""Creative Nonfiction""","""Research""","2005"
"52971","1.0","417","[""ENGL""]","0","""0/999""","","[""Jan C. Hill""]","""0/999""","200","[""RML 421""]","999","""Journalistic Writing""","255","false","","4","""0/999""","""0/999""","""X""","20054","[""M-Th 1230-0200PM""]","","""Research""","2005"
"52972","1.0","418","[""ENGL""]","8","""0/999""","","[""Eliot K. Wilson""]","""0/999""","200","[""RML 515""]","999","""Creat Wrtg: Fict/Poet""","257","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","""Creative Writing I""","""Research""","2005"
"52974","1.0","463","[""ENVST""]","7","""0/999""","","[""Heather M. Brooks-Shirey""]","""0/999""","200","[""DC 204""]","999","""Nature & Am Landscape""","270","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","""Nature and American Landscapes""","""Research""","2005"
"52975","1.0","476","[""FREN""]","0","""0/999""","","[""Jolene Barjasteh""]","""0/999""","100","[""OM 026""]","999","""Beginning French I""","111","false","","4","""0/999""","""0/999""","""X""","20054","[""M-F 1000-1130""]","","""Research""","2005"
"52976","1.0","608","[""HIST""]","11","""0/999""","","[""Robert Entenmann""]","""0/999""","200","[""RML 515""]","999","""Chinese Civilization""","250","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0230-0400PM""]","","""Research""","2005"
"52977","1.0","697","[""ID""]","6","""0/999""","","[""J. L. Carrington""]","""0/999""","200","[""RML 515""]","999","""War and Peace""","238","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-0930""]","","""Research""","2005"
"52978","1.0","735","[""MATH""]","7","""0/999""","","[""Peder Bolstad""]","""0/999""","200","[""SC 184""]","999","""Principles of Math""","210","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-0930""]","""Principles of Mathematics""","""Research""","2005"
"52979","1.0","979","[""PHIL""]","6","""0/999""","","[""Edmund Santurri""]","""0/999""","200","[""RML 420""]","999","""Ethics/The Good Life""","252","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1230-0200PM""]","""Ethics and the Good Life""","""Research""","2005"
"52980","0.25","997","[""PEAC""]","0","""0/999""","","[""Le Ann K H. Finger""]","""0/999""","100","","999","""Golf""","103","false","","4","""0/999""","""0/999""","""O""","20054","[""MWF 0700-0900""]","","""Research""","2005"
"52981","0.5","1012","[""PEAC""]","10","""0/999""","","[""Christine Daymont""]","""0/999""","100","[""SAC 112""]","10","""Individual Fitness.50""","133","false","","4","""0/999""","""0/999""","""C""","20054","[""M-F 0645-0745""]","""Individual Fitness""","""Research""","2005"
"52982","0.5","1016","[""PEAC""]","4","""0/999""","","[""Christine Daymont""]","""0/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0645-0745""]","""Weight Training""","""Research""","2005"
"52984","1.0","1104","[""PSCI""]","0","""0/999""","","[""D Christopher Brooks""]","""0/999""","100","[""RML 421""]","999","""Comparative Politics""","112","false","","4","""0/999""","""0/999""","""X""","20054","[""M-F 0800-0930""]","","""Research""","2005"
"52985","1.0","1119","[""PSCI""]","5","""0/999""","","[""D Christopher Brooks""]","""0/999""","200","[""RML 421""]","999","""Distributive Justice""","249","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","","""Research""","2005"
"52986","1.0","1168","[""PSYCH""]","5","""0/999""","","[""Rebecca M. Starr""]","""0/999""","200","[""RML 520""]","999","""Developmental Psych""","241","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1230-0200PM""]","""Developmental Psychology""","""Research""","2005"
"52987","1.0","1176","[""PSYCH""]","9","""0/999""","","[""Jumi Hayaki""]","""0/999""","200","[""RML 520""]","999","""Psychopathology""","264","false","","4","""0/999""","""0/999""","""O""","20054","[""MTThF 1000-1130""]","","""Research""","2005"
"52988","1.0","1209","[""REL""]","12","""0/999""","","[""Edmund Santurri""]","""0/999""","200","[""RML 420""]","999","""God & Human Suffering""","225","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","""God and Human Suffering""","""Research""","2005"
"52989","1.0","1374","[""THEAT""]","3","""0/999""","","[""Karen Wilson""]","""0/999""","100","[""TB 227""]","999","""Oral Interpretation""","100","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-0930""]","","""Research""","2005"
"52990","1.0","1377","[""THEAT""]","6","""0/999""","","[""Barbara J. Evans""]","""0/999""","100","[""TB 216""]","999","""Public Speaking""","120","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1230-0200PM""]","","""Research""","2005"
"52991","1.0","1399","[""THEAT""]","4","""0/999""","","[""Karen Wilson""]","""0/999""","300","[""TB 227""]","999","""Top: Theatre in Society""","380","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","""Theater in Society""","""Topic""","2005"
"53394","1.0","17596","[""ART""]","0","""0/999""","","[""Mary Griep""]","""0/999""","100","[""DC 216""]","999","""How to See:Think Visually""","126","false","","4","""0/999""","""0/999""","""X""","20054","[""M-F 0800-0930""]","""Thinking Visually""","""Research""","2005"
"53416","1.0","1289","[""SOAN""]","7","""0/999""","","[""Ryan R. Sheppard""]","""0/999""","100","[""RML 577""]","999","""Intro to Sociology""","121","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0800-0930""]","""Introduction to Sociology""","""Research""","2005"
"53417","1.0","1310","[""SOAN""]","8","""0/999""","","[""Ryan R. Sheppard""]","""0/999""","200","[""RML 577""]","999","""Marriage & the Family""","260","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1000-1130""]","""Marriage and the Family""","""Research""","2005"
"53437","1.0","315","[""EDUC""]","7","""0/999""","","[""Daniel R. Forstner"", ""Robert W. McClure""]","""0/999""","300","","999","""Soc St-Elem Classroom""","314","false","","4","""0/999""","""0/999""","""O""","20054","","","""Research""","2005"
"53438","1.0","316","[""EDUC""]","7","""0/999""","","[""Daniel R. Forstner"", ""Esther McLaughlin""]","""0/999""","300","","999","""Reading Comm Literacy""","315","false","","4","""0/999""","""0/999""","""O""","20054","","","""Research""","2005"
"53458","1.0","504","[""GERM""]","4","""0/999""","","[""Jerrolyn Hurlbutt""]","""0/999""","100","[""DC 204""]","999","""Beginning German I""","111","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0230-0400PM""]","","""Research""","2005"
"53459","1.0","505","[""GERM""]","0","""0/999""","","[""Jerrolyn Hurlbutt""]","""0/999""","100","[""DC 204""]","999","""Beginning German II""","112","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 0230-0400PM""]","","""Research""","2005"
"53460","1.0","508","[""GERM""]","1","""0/999""","","[""Jerrolyn Hurlbutt""]","""0/999""","200","[""DC 204""]","999","""Intermed German I""","231","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1230-0200PM""]","""Intermediate German I""","""Research""","2005"
"53461","1.0","509","[""GERM""]","1","""0/999""","","[""Jerrolyn Hurlbutt""]","""0/999""","200","[""DC 204""]","999","""Intermed German II""","232","false","","4","""0/999""","""0/999""","""O""","20054","[""M-F 1230-0200PM""]","""Intermediate German II""","""Research""","2005"
