"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"51076","1.0","190","[""CHEM""]","23","""7/999""","","190","[""Patrick N. Riley""]","""6/999""","100","[""SC 374""]","24","""A Matter of Environ""","124","false","","2","""7/999""","""2/999""","""C""","20062","[""M-F 0800-1000""]","""Environmental Chemistry""","""Research""","2006"
"51077","0.0","191","[""CHEM""]","23","""7/999""","","190","[""Nathaniel J. Schaefle""]","""6/999""","100","[""SC 371""]","24","""A Matter of Environ Lab""","124","false","","2","""7/999""","""2/999""","""C""","20062","[""TWTh 1230-0330PM""]","","""Lab""","2006"
"51078","1.0","11","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51079","1.0","68","[""ART""]","1","""0/999""","","","[""Irve Dell""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51080","1.0","73","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51081","1.0","93","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51082","1.0","96","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51083","1.0","153","[""BIO""]","5","""0/999""","","","[""Louis Henry Kermott""]","""3/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""4/999""","""O""","20062","","""Internship""","""Research""","2006"
"51084","1.0","174","[""BIO""]","1","""0/999""","","","[""John Giannini""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51085","1.0","204","[""CHEM""]","1","""0/999""","","","[""Wesley Pearson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51086","1.0","222","[""CHEM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51087","1.0","233","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51088","1.0","235","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51089","1.0","248","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51090","1.0","251","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51091","1.0","276","[""ECON""]","1","""0/999""","","","[""Anthony Becker""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""O""","20062","","","""Research""","2006"
"51092","1.0","284","[""ECON""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51093","1.0","299","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51094","1.0","306","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51095","1.0","313","[""EDUC""]","5","""0/999""","","","[""John Welckle""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""1/999""","""O""","20062","","","""Research""","2006"
"51096","1.0","344","[""EDUC""]","1","""0/999""","","","[""Rosemary A. Pfarr-Baker""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
"51097","1.0","374","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""O""","20062","","""Internship""","""Research""","2006"
