"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"75103","1.0","384","[""ENGL""]","6","""1/999""","[""ALS-L"", ""ORC""]","","","[""Stephen Longfellow""]","""4/999""","100","[""RML 515""]","999","""Intro to Poetry""","123","false","","4","""1/999""","""0/999""","""O""","20094","[""M-F 1000-1130""]","""Introduction to Poetry""","""Research""","2009"
"75106","1.0","17675","[""EDUC""]","9","""0/999""","","","","[""Heather Campbell""]","""3/999""","300","","999","""Teaching ESL K-12""","347","false","","4","""6/999""","""0/999""","""O""","20094","[""M-F 0730-1000""]","","""Research""","2009"
"75107","1.0","17676","[""EDUC""]","8","""0/999""","","","","[""Heather Campbell""]","""2/999""","300","","999","""Assessment of ESL K-12""","348","false","","4","""6/999""","""0/999""","""O""","20094","[""M-F 1000-1230PM""]","","""Research""","2009"
"75108","1.0","1476","[""WMNST""]","0","""0/999""","[""MCD"", ""WRI""]","","","[""Jenny Dunning""]","""0/999""","100","[""RML 421""]","999","""Intro Womens Studies""","121","false","","4","""0/999""","""0/999""","""X""","20094","[""M-F 1000-1130""]","""Introduction to Women's Studies""","""Research""","2009"
"75110","1.0","1194","[""REL""]","0","""0/999""","[""BTS-T""]","","","[""Mary E. Anderson""]","""0/999""","200","[""DC 204""]","999","""The Greats""","203","false","","4","""0/999""","""0/999""","""X""","20094","[""M-F 1000-1130""]","","""Research""","2009"
"75111","1.0","1209","[""REL""]","10","""1/999""","[""BTS-T""]","","","[""Mary E. Anderson""]","""4/999""","200","[""RML 515""]","999","""God & Human Suffering""","225","false","","4","""0/999""","""5/999""","""O""","20094","[""M-F 1230-0200PM""]","""God and Human Suffering""","""Research""","2009"
"75123","1.0","20055","[""ART""]","0","""0/999""","[""ALS-A""]","","""R""","[""Guido Alvarez""]","""0/999""","100","[""DC 100""]","999","""Foundation New Media""","104","false","","4","""0/999""","""0/999""","""X""","20094","[""M-F 1000-1130""]","","""Research""","2009"
"75124","1.0","1496","[""ART""]","5","""0/999""","[""ALS-A""]","","","[""Kathryne Fisher""]","""0/999""","200","[""DC 115""]","999","""Ceramics""","207","false","","4","""2/999""","""3/999""","""O""","20094","[""M-F 0230-0400PM""]","","""Research""","2009"
"75237","1.0","196","[""CHEM""]","40","""8/999""","","","","[""Wesley Pearson""]","""8/999""","200","[""RNS 310""]","999","""Organic Chemistry I""","247","false","","4","""6/999""","""18/999""","""O""","20094","[""M-F 0800-0930""]","","""Research""","2009"
"75238","0.25","199","[""CHEM""]","18","""3/999""","","","","[""Peter J. Gittins""]","""5/999""","200","[""RNS 340""]","20","""Synthesis Lab I""","253","true","""A""","4","""0/999""","""10/999""","""O""","20094","[""MW 0100-0400PM""]","""Synthesis Laboratory I""","""Lab""","2009"
"75240","0.25","199","[""CHEM""]","20","""4/999""","","","","[""Peter J. Gittins""]","""3/999""","200","[""RNS 340""]","20","""Synthesis Lab I""","253","true","""B""","4","""6/999""","""7/999""","""C""","20094","[""TTh 0100-0400PM""]","""Synthesis Laboratory I""","""Lab""","2009"
"75241","1.0","192","[""CHEM""]","14","""5/999""","[""SED""]","192","","[""Patrick N. Riley""]","""2/999""","100","[""RNS 310"", ""RNS 350""]","999","""Struct Chem & Equilib""","125","false","","4","""1/999""","""6/999""","""O""","20094","[""M-F 1000-1130"", ""MW 0100-0400PM""]","""Structural Chemistry and Equilibrium""","""Research""","2009"
