"clbid","credits","crsid","departments","enrolled","firsties","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"52992","1.0","194","[""CHEM""]","11","""0/999""","194","[""Patrick N. Riley""]","""0/999""","100","[""SC 374""]","999","""Chemical Reactions""","126","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1000-1130""]","""Energies and Rates of Chemical Reactions""","""Research""","2005"
"52993","0.0","195","[""CHEM""]","11","""0/999""","194","[""Patrick N. Riley""]","""0/999""","100","[""SC 363""]","999","""Chemical Reactions Lab""","126","false","","5","""0/999""","""0/999""","""O""","20055","[""MW 0100-0400PM""]","","""Lab""","2005"
"52994","1.0","197","[""CHEM""]","41","""0/999""","","[""Wesley Pearson""]","""0/999""","200","[""SC 378""]","999","""Organic Chemistry""","248","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1000-1130""]","","""Research""","2005"
"52995","0.25","200","[""CHEM""]","20","""0/999""","","[""Anthony T. Watson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","""A""","5","""0/999""","""0/999""","""C""","20055","[""MW 0100-0400PM""]","""Synthesis Laboratory""","""Lab""","2005"
"52997","0.25","200","[""CHEM""]","20","""0/999""","","[""Anthony T. Watson""]","""0/999""","200","[""SC 311""]","999","""Synthesis Lab""","254","true","""B""","5","""0/999""","""0/999""","""O""","20055","[""TTh 0100-0400PM""]","""Synthesis Laboratory""","""Lab""","2005"
"52998","1.0","411","[""ENGL""]","11","""0/999""","","[""Joseph L. Mbele""]","""0/999""","200","[""RML 420""]","999","""Post-Colonial Lit""","247","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1000-1130""]","""Post-Colonial Literatures""","""Research""","2005"
"52999","1.0","413","[""ENGL""]","0","""0/999""","","[""Mark Allister""]","""0/999""","200","[""RML 515""]","999","""Creative Wrtg: Non-Fic""","251","false","","5","""0/999""","""0/999""","""X""","20055","[""M-F 0800-0930""]","""Creative Nonfiction""","""Research""","2005"
"53000","1.0","429","[""ENGL""]","9","""0/999""","","[""Mark Allister""]","""0/999""","200","[""RML 515""]","12","""Top: Prose: Beach Reading""","283","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1000-1130""]","""Studies in Prose""","""Topic""","2005"
"53003","1.0","438","[""ENGL""]","0","""0/999""","","[""Joseph L. Mbele""]","""0/999""","300","[""RML 420""]","999","""Top: Post Colonial Lit""","347","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1230-0200PM""]","""Topics in Post-Colonial Literatures""","""Topic""","2005"
"53004","1.0","442","[""ENGL""]","0","""0/999""","","[""Mark Allister""]","""0/999""","300","[""RML 515""]","999","""Adv Non-Fiction Wrtg""","373","false","","5","""0/999""","""0/999""","""X""","20055","[""M-F 0800-0930""]","""Advanced Creative Nonfiction""","""Research""","2005"
"53005","1.0","456","[""ENVST""]","0","""0/999""","","[""Anthony Lott""]","""0/999""","200","[""RML 520""]","999","""Global Env Politics""","201","false","","5","""0/999""","""0/999""","""X""","20055","[""M-F 1000-1130""]","""Topics in Global Environmental Politics""","""Research""","2005"
"53006","1.0","758","[""MATH""]","2","""0/999""","","[""Kay E. Smith""]","""0/999""","300","[""SC 184""]","999","""Geometry""","356","false","","5","""0/999""","""0/999""","""C""","20055","[""M-F 0800-0930""]","","""Research""","2005"
"53007","0.25","997","[""PEAC""]","6","""0/999""","","[""Le Ann K H. Finger""]","""0/999""","100","","999","""Golf""","103","false","","5","""0/999""","""0/999""","""O""","20055","[""MWF 0700-0900""]","","""Research""","2005"
"53008","0.5","1012","[""PEAC""]","6","""0/999""","","[""Shahram Ahrar""]","""0/999""","100","[""SAC 112""]","999","""Individual Fitness.50""","133","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 0400-0530PM""]","""Individual Fitness""","""Research""","2005"
"53009","0.5","1016","[""PEAC""]","4","""0/999""","","[""Shahram Ahrar""]","""0/999""","100","[""SAC 112""]","999","""Wt Training Co-Ed .50""","140","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 0230-0400PM""]","""Weight Training""","""Research""","2005"
"53010","1.0","1105","[""PSCI""]","8","""0/999""","","[""Douglas J. Casson""]","""0/999""","100","[""RML 520""]","999","""Intro: Pol Theory""","113","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1000-1130""]","""Introduction to Political Theory""","""Research""","2005"
"53011","1.0","1130","[""PSCI""]","3","""0/999""","","[""Douglas J. Casson""]","""0/999""","200","[""RML 520""]","999","""Hist Mod Pol Thought""","260","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1230-0200PM""]","""History of Modern Political Thought""","""Research""","2005"
"53012","1.0","1207","[""REL""]","13","""0/999""","","[""James Hanson""]","""0/999""","200","[""DC 204""]","999","""St.Paul/Letter/Gospel""","223","false","","5","""0/999""","""0/999""","""O""","20055","[""M-F 1230-0200PM""]","""Paul: His Letters, His Gospel""","""Research""","2005"
