"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"99383","0.25","16220","[""HIST""]","6","""0/999""","","","","","[""Robert Entenmann""]","""1/999""","200","","10","""FLC - Chinese""","250","false","","1","""3/999""","""2/999""","""O""","20151","","","""FLAC""","2015"
"99386","1.0","747","[""MATH""]","20","""0/999""","[""WRI""]","","","","[""Ryota Matsuura""]","""13/999""","200","[""TOH 186""]","18","""Abstract Algebra I""","252","false","""A""","1","""1/999""","""6/999""","""C""","20151","[""MWF 1150-1245PM""]","","""Research""","2015"
"99387","1.0","747","[""MATH""]","21","""0/999""","[""WRI""]","","","","[""Kay E. Smith""]","""7/999""","200","[""TOH 186""]","18","""Abstract Algebra I""","252","false","""B""","1","""5/999""","""9/999""","""C""","20151","[""MWF 0800-0855""]","","""Research""","2015"
"99388","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99389","1.0","14","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99390","1.0","68","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99391","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99392","0.5","153","[""BIO""]","0","""0/0""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99393","1.0","174","[""BIO""]","0","""0/0""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99394","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99395","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99396","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99397","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99398","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99399","1.0","251","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99400","1.0","276","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99401","1.0","284","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99402","1.0","299","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99403","1.0","306","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99404","1.0","313","[""EDUC""]","1","""0/0""","","","","","[""Heather Campbell""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""1/999""","""0/0""","""C""","20151","","","""Research""","2015"
"99405","0.5","344","[""EDUC""]","0","""0/0""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/0""","""C""","20151","","","""Research""","2015"
"99406","1.0","433","[""ENGL""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99407","1.0","449","[""ENGL""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99408","1.0","464","[""ENVST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99409","1.0","466","[""ENVST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99412","1.0","490","[""FREN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99413","1.0","494","[""FREN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99414","1.0","522","[""GERM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99415","1.0","529","[""GERM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99416","1.0","543","[""GREEK""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99417","1.0","550","[""GREEK""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","""Academic Inernship""","""Research""","2015"
"99418","1.0","624","[""HIST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
"99419","1.0","640","[""HIST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""C""","20151","","","""Research""","2015"
