"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"73305","1.0","190","[""CHEM""]","21","""6/999""","[""IST"", ""SED""]","190","[""Paul T. Jackson""]","""5/999""","100","[""RNS 435""]","30","""A Matter of Environ""","124","false","","2","""1/999""","""9/999""","""O""","20102","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2010"
"73306","0.0","191","[""CHEM""]","21","""6/999""","","190","[""Paul T. Jackson""]","""5/999""","100","[""RNS 454""]","30","""A Matter of Environ Lab""","124","false","","2","""1/999""","""9/999""","""O""","20102","[""TWTh 1230-0330PM""]","","""Lab""","2010"
"73307","1.0","11","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73308","1.0","68","[""ART""]","1","""0/999""","","","[""Wendell Arneson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73309","1.0","73","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73310","1.0","93","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73311","1.0","96","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73312","1.0","153","[""BIO""]","3","""0/999""","","","[""Theodore Johnson""]","""2/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73313","1.0","174","[""BIO""]","1","""0/999""","","","[""Diane K. Angell""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""1/999""","""C""","20102","","""Internship""","""Research""","2010"
"73314","1.0","204","[""CHEM""]","1","""0/999""","","","[""Paul T. Jackson""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73315","1.0","222","[""CHEM""]","2","""0/999""","","","[""Douglas J. Beussman""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73316","1.0","233","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73317","1.0","235","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73318","1.0","248","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73319","1.0","251","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73320","1.0","276","[""ECON""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73321","1.0","284","[""ECON""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73322","1.0","299","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73323","1.0","306","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73324","1.0","313","[""EDUC""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73325","1.0","344","[""EDUC""]","1","""0/999""","","","[""Rosemary A. Pfarr-Baker""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73326","1.0","374","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73327","1.0","377","[""DANCE""]","1","""0/999""","","","[""Heather J. Klopchin""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73328","1.0","433","[""ENGL""]","1","""0/999""","","","[""Jenny Dunning""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73329","1.0","449","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73330","1.0","464","[""ENVST""]","3","""0/999""","","","[""Stephanie N. Schmidt""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""3/999""","""C""","20102","","""Internship""","""Research""","2010"
"73331","1.0","466","[""ENVST""]","1","""0/999""","","","[""Paul T. Jackson""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""1/999""","""C""","20102","","""Internship""","""Research""","2010"
"73332","1.0","490","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73333","1.0","494","[""FREN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73334","1.0","522","[""GERM""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73335","1.0","529","[""GERM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73336","1.0","543","[""GREEK""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73337","1.0","550","[""GREEK""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Academic Inernship""","""Research""","2010"
"73338","1.0","624","[""HIST""]","2","""0/999""","","","[""Steven C. Hahn""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73339","1.0","640","[""HIST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73340","1.0","643","[""HSPST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73341","1.0","646","[""HSPST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73342","1.0","653","[""FAMST""]","1","""0/999""","","","[""Devyani Chandran""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73343","1.0","656","[""FAMST""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73344","1.0","686","[""IS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73345","1.0","691","[""IS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73346","1.0","707","[""ID""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73347","1.0","709","[""ID""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73348","1.0","716","[""LATIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73349","1.0","725","[""LATIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73350","1.0","751","[""MATH""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73351","1.0","784","[""MGMT""]","2","""0/999""","","","[""Sian E. Muir""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""1/999""","""C""","20102","","""Internship""","""Research""","2010"
"73352","1.0","788","[""MGMT""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73353","1.0","795","[""MEDIA""]","1","""0/999""","","","[""Jan C. Hill""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73354","1.0","797","[""MEDIA""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73355","1.0","846","[""MUSIC""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73356","1.0","865","[""MUSIC""]","1","""0/999""","","","[""Kathryn Ananda-Owens""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73357","1.0","917","[""NEURO""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73358","1.0","919","[""NEURO""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73359","1.0","931","[""NORW""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73360","1.0","936","[""NORW""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73361","1.0","942","[""NURS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73362","1.0","961","[""NURS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73363","1.0","985","[""PHIL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73364","1.0","992","[""PHIL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73365","1.0","1057","[""ESTH""]","1","""0/999""","","","[""Cynthia Book""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73366","1.0","1067","[""ESTH""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73367","1.0","1090","[""PHYS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73368","1.0","1100","[""PHYS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73369","1.0","1139","[""PSCI""]","2","""0/999""","","","[""Anthony Lott""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""2/999""","""C""","20102","","""Internship""","""Research""","2010"
"73370","1.0","1151","[""PSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73371","1.0","1178","[""PSYCH""]","1","""0/999""","","","[""Grace E. Cho""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73372","1.0","1188","[""PSYCH""]","1","""0/999""","","","[""M. Minda Ori\u00f1a""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73373","1.0","1236","[""REL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73374","1.0","1253","[""REL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73375","1.0","1275","[""RUSSN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73376","1.0","1279","[""RUSSN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73377","1.0","1315","[""SOAN""]","2","""0/999""","","","[""Christopher L. Chiappari""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73378","1.0","1319","[""SOAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
"73379","1.0","1341","[""SPAN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73380","1.0","1354","[""SPAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20102","","","""Research""","2010"
"73381","1.0","1366","[""SWRK""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20102","","""Internship""","""Research""","2010"
