"clbid","credits","crsid","departments","gereqs","groupid","instructors","level","locations","name","number","pn","section","semester","status","term","times","title","type","year"
"113157","1.0","190","[""CHEM""]","[""IST"", ""SED""]","190","[""Staff""]","100","[""RNS 410""]","""A Matter of Environ""","124","false","","2","""O""","20172","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2017"
"113158","0.0","191","[""CHEM""]","","190","[""Staff""]","100","[""RNS 350""]","""A Matter of Environ Lab""","124","false","","2","""O""","20172","[""TWTh 1230-0330PM""]","","""Lab""","2017"
"113159","1.0","11","[""AMST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113160","1.0","68","[""ART""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113161","1.0","73","[""ART""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113162","1.0","93","[""ASIAN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113163","1.0","96","[""ASIAN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113164","1.0","153","[""BIO""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113165","1.0","174","[""BIO""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113166","1.0","204","[""CHEM""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113167","1.0","222","[""CHEM""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113168","1.0","233","[""CLASS""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113169","1.0","235","[""CLASS""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113170","1.0","248","[""CHIN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113171","1.0","251","[""CHIN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113172","1.0","276","[""ECON""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113173","1.0","284","[""ECON""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113174","1.0","299","[""CSCI""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113175","1.0","306","[""CSCI""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113176","1.0","313","[""EDUC""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113177","1.0","344","[""EDUC""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113178","1.0","374","[""DANCE""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","""Internship""","""Research""","2017"
"113179","1.0","377","[""DANCE""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113180","1.0","433","[""ENGL""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113181","1.0","449","[""ENGL""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113182","1.0","464","[""ENVST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113183","1.0","466","[""ENVST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113184","1.0","490","[""FREN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113185","1.0","494","[""FREN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113186","1.0","522","[""GERM""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113187","1.0","529","[""GERM""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113188","1.0","543","[""GREEK""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113189","1.0","550","[""GREEK""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","""Academic Inernship""","""Research""","2017"
"113190","1.0","624","[""HIST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113191","1.0","640","[""HIST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113192","1.0","653","[""FAMST""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113193","1.0","656","[""FAMST""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113194","1.0","686","[""IS""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113195","1.0","691","[""IS""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113196","1.0","707","[""ID""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113197","1.0","709","[""ID""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
"113198","1.0","716","[""LATIN""]","","","[""Staff""]","200","","""Academic Internship""","294","true","","2","""O""","20172","","","""Research""","2017"
"113199","1.0","725","[""LATIN""]","","","[""Staff""]","300","","""Academic Internship""","394","true","","2","""O""","20172","","","""Research""","2017"
