"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"78386","1.0","190","[""CHEM""]","22","""5/999""","[""IST"", ""SED""]","190","[""Gregory W. Muth""]","""8/999""","100","[""RNS 410""]","24","""A Matter of Environ""","124","false","","2","""7/999""","""2/999""","""C""","20112","[""M-F 0800-1000""]","""A Matter of the Environment with Lab""","""Research""","2011"
"78387","0.0","191","[""CHEM""]","22","""5/999""","","190","[""Gregory W. Muth""]","""8/999""","100","[""RNS 454""]","24","""A Matter of Environ Lab""","124","false","","2","""7/999""","""2/999""","""C""","20112","[""TWTh 1230-0330PM""]","","""Lab""","2011"
"78388","1.0","11","[""AMST""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78389","1.0","68","[""ART""]","1","""0/999""","","","[""Mary Griep""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78390","1.0","73","[""ART""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78391","1.0","93","[""ASIAN""]","1","""0/999""","","","[""Robert Entenmann""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78392","1.0","96","[""ASIAN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78393","1.0","153","[""BIO""]","7","""0/999""","","","[""Jean C. Porterfield""]","""3/999""","200","","999","""Academic Internship""","294","true","","2","""2/999""","""2/999""","""C""","20112","","""Internship""","""Research""","2011"
"78394","1.0","174","[""BIO""]","1","""0/999""","","","[""David Van Wylen""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78395","1.0","204","[""CHEM""]","1","""0/999""","","","[""Douglas J. Beussman""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78396","1.0","222","[""CHEM""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78397","1.0","233","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78398","1.0","235","[""CLASS""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78399","1.0","248","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78400","1.0","251","[""CHIN""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78401","1.0","276","[""ECON""]","2","""0/999""","","","[""Steve Soderlind""]","""1/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78402","1.0","284","[""ECON""]","1","""0/999""","","","[""Steve Soderlind""]","""1/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78403","1.0","299","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78404","1.0","306","[""CSCI""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78405","1.0","313","[""EDUC""]","1","""0/999""","","","[""Maria L. Kelly""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""1/999""","""0/999""","""C""","20112","","","""Research""","2011"
"78406","1.0","344","[""EDUC""]","1","""0/999""","","","[""Maria L. Kelly""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""1/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78407","1.0","374","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78408","1.0","377","[""DANCE""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78409","1.0","433","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
"78410","1.0","449","[""ENGL""]","0","""0/999""","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","2","""0/999""","""0/999""","""C""","20112","","""Internship""","""Research""","2011"
