"clbid","credits","crsid","departments","enrolled","firsties","gereqs","groupid","grouptype","halfcredit","instructors","juniors","level","locations","maximum","name","number","pn","section","semester","seniors","sophomores","status","term","times","title","type","year"
"72142","1.0","747","[""MATH""]","22","""0/999""","[""WRI""]","","","","[""Adam H. Berliner""]","""12/999""","200","[""RNS 160D""]","22","""Abstract Algebra I""","252","false","""A""","1","""3/999""","""7/999""","""C""","20101","[""MWF 1045-1140""]","","""Research""","2010"
"72143","1.0","747","[""MATH""]","19","""2/999""","[""WRI""]","","","","[""Kristina Garrett""]","""10/999""","200","[""RNS 206""]","22","""Abstract Algebra I""","252","false","""B""","1","""2/999""","""5/999""","""O""","20101","[""MWF 1150-1245PM""]","","""Research""","2010"
"72145","1.0","11","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72146","1.0","14","[""AMST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72147","1.0","68","[""ART""]","1","""0/999""","","","","","[""Wendell Arneson""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""1/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72148","1.0","73","[""ART""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72149","0.5","153","[""BIO""]","1","""0/999""","","","","","[""Theodore Johnson""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""1/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72150","1.0","174","[""BIO""]","2","""0/999""","","","","","[""Kevin M. Crisp""]","""2/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72151","1.0","204","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72152","1.0","222","[""CHEM""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72153","1.0","233","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72154","1.0","235","[""CLASS""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72155","1.0","248","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72156","1.0","251","[""CHIN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72157","1.0","276","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72158","1.0","284","[""ECON""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72159","1.0","299","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72160","1.0","306","[""CSCI""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72161","0.5","313","[""EDUC""]","0","""0/0""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/0""","""O""","20101","","","""Research""","2010"
"72162","0.5","344","[""EDUC""]","0","""0/0""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/0""","""O""","20101","","""Internship""","""Research""","2010"
"72163","1.0","433","[""ENGL""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72164","1.0","449","[""ENGL""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72165","1.0","464","[""ENVST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72166","1.0","466","[""ENVST""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","""Internship""","""Research""","2010"
"72167","1.0","471","[""IDFA""]","","","","","","","[""Staff""]","","200","","","""Academic Internship""","294","true","","1","","","""O""","20101","","","""Research""","2010"
"72168","1.0","474","[""IDFA""]","","","","","","","[""Staff""]","","300","","","""Academic Internship""","394","true","","1","","","""O""","20101","","","""Research""","2010"
"72169","1.0","490","[""FREN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","200","","999","""Academic Internship""","294","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
"72170","1.0","494","[""FREN""]","0","""0/999""","","","","","[""Staff""]","""0/999""","300","","999","""Academic Internship""","394","true","","1","""0/999""","""0/999""","""O""","20101","","","""Research""","2010"
