"","clbid","credits","crsid","departments","halfcredit","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",2,1,4,"['AMST']",NA,"['James Farrell']",100,"['L 177']","Perspec Amer Culture",100,"False","False","",1,"C",20001,"['MWF 0200-0255PM']","Research",2000,29
"2",3,1,16,"['AFAM']",NA,"['Michael Fitzgerald']",200,"['L 577']","Africa & the Americas",231,"False","False","",1,"O",20001,"['MWF 1150-1245PM']","Seminar",2000,24
"12",13,1,27,"['ART']",NA,"['Jan Shoger']",100,"['FH 42']","Honors Found Drawing",120,"False","False","",1,"C",20001,"['MWF 0800-1000']","Research",2000,12
"13",14,1,29,"['ART']",NA,"['Margaret Ojala']",100,"['FH 2']","Found Photography",124,"False","False","",1,"C",20001,"['MWF 0800-1000']","Research",2000,20
"14",15,1,31,"['ART']",NA,"['Nancy M. Thompson']",100,"['FH 01']","Ancient--Medieval",150,"False","False","",1,"C",20001,"['TTh 0935-1100']","Research",2000,38
"15",16,1,32,"['ART']",NA,"['Nancy M. Thompson']",100,"['FH 01']","Renaissance--Present",151,"False","False","",1,"C",20001,"['MWF 0800-0855']","Research",2000,29
"16",17,1,33,"['ART']",NA,"['Wendell Arneson']",200,"['FH 40']","Oil/Acrylic Paintng",231,"False","False","",1,"C",20001,"['MWF 1255-0255PM']","Research",2000,24
"17",18,1,35,"['ART']",NA,"['John Saurer']",200,"['FH 18']","Sculpt: Metal Casting",233,"False","False","",1,"O",20001,"['TTh 1145-0245PM']","Research",2000,11
"18",19,1,38,"['ART']",NA,"['Jan Shoger']",200,"['FH 44']","Printmkg: Relief/Litho",236,"False","False","",1,"C",20001,"['MWF 1045-1245PM']","Research",2000,17
"19",21,1,46,"['ART']",NA,"['Margaret Ojala']",200,"['FH 2']","Photography",248,"False","False","",1,"O",20001,"['MWF 1255-0255PM']","Research",2000,7
"20",22,1,51,"['ART']",NA,"['Matthew Rohn']",200,"['FH 01']","High Modernism",252,"False","False","",1,"O",20001,"['MWF 1045-1140']","Research",2000,37
"21",23,1,60,"['ART']",NA,"['Nancy M. Thompson']",200,"['FH 01']","Later Medieval Art",263,"False","False","",1,"O",20001,"['TTh 0120-0245PM']","Research",2000,16
"22",24,1,69,"['ART']",NA,"['Jan Shoger']",200,"","IS/Bookmaking",298,"False","False","",1,"O",20001,"","Research",2000,1
"23",25,1,69,"['ART']",NA,"['Jan Shoger']",200,"","IS/Illustration",298,"False","False","A",1,"O",20001,"","Research",2000,1
"24",26,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Advanced Ceramics",298,"False","False","B",1,"O",20001,"","Research",2000,1
"25",27,1,69,"['ART']",NA,"['Ron Gallas']",200,"","IS/Ind Study Ceramics",298,"False","False","C",1,"O",20001,"","Research",2000,1
"26",28,1,69,"['ART']",NA,"['Jan Shoger']",200,"","IS/Adv Printmaking",298,"False","False","D",1,"O",20001,"","Research",2000,1
"27",29,1,1517,"['ART']",NA,"['Irve Dell']",300,"['FHSEM']","Topics Sem/Studio Art",390,"False","False","",1,"C",20001,"['TTh 1145-0245PM']","Topic",2000,17
"28",30,1,76,"['ASIAN']",NA,"['Phyllis Hyland Larson']",100,"['M 35']","Family & Self/E Asia",111,"False","False","",1,"C",20001,"['TTh 1145-0110PM']","Research",2000,20
"29",31,1,78,"['ASIAN']",NA,"['Barbara Reed']",100,"['CH 110']","Asian Cultures",121,"False","False","",1,"O",20001,"['TTh 1145-0110PM']","Research",2000,17
"30",32,1,83,"['ASIAN']",NA,"['Pin Pin Wan']",100,"['M 30']","Cont China Thru Film",156,"False","False","",1,"O",20001,"['TTh 1145-0110PM']","Research",2000,26
"31",33,1,84,"['ASIAN']",NA,"['Bruce Dalgaard']",200,"['M 35']","Rice & Society/E Asia",211,"False","False","",1,"C",20001,"['TTh 0120-0245PM']","Research",2000,12
"32",34,1,94,"['ASIAN']",NA,"['Kristina MacPherson']",200,"","IS/Asian Conservation",298,"False","False","",1,"O",20001,"","Research",2000,1
"33",35,1,97,"['ASIAN']",NA,"['Phyllis Hyland Larson']",300,"","IR/Japanese Poetry",398,"False","False","",1,"O",20001,"","Research",2000,1
