"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",106301,1,190,"['CHEM']","Students study contemporary questions concerning the environment from the fundamental properties of matter to human impact on natural processes, including damage to and protection of the environment. Students discover how chemistry intersects with everyday living, especially the abilities and limitations of science to address environmental issues. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts toward environmental studies major (arts and humanities and social science emphases) and concentration; does not count toward chemistry major. Offered during Interim.","['IST', 'SED']",190,"","['Paul T. Jackson']",100,"['RNS 410']","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.",124,"False","False","",2,"C",20162,"['M-F 0800-1000']","A Matter of the Environment with Lab","Research",2016,0
"3",106303,1,11,"['AMST']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20162,"","","Research",2016,0
"4",106304,1,68,"['ART']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20162,"","","Research",2016,0
"5",106305,1,73,"['ART']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20162,"","","Research",2016,0
"6",106306,1,93,"['ASIAN']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20162,"","","Research",2016,0
"7",106307,1,96,"['ASIAN']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20162,"","","Research",2016,0
"8",106308,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Piper Center for Vocation and Career, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","",NA,"","['Jean C. Porterfield']",200,"","Academic Internship","",294,"True","False","",2,"C",20162,"","","Research",2016,0
"9",106309,1,174,"['BIO']","Biology 394 is for students who have completed one internship (BIO 294) and wish to complete a second internship. Students interested in an internship should consult with the Piper Center for Vocation and Career, locate a faculty supervisor, and complete an internship form. Internships do not count toward the biology major requirements.","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20162,"","","Research",2016,0
"10",106310,1,204,"['CHEM']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20162,"","","Research",2016,0
"11",106311,1,222,"['CHEM']","","",NA,"","['Dipannita Kalyani']",300,"","Academic Internship","",394,"True","False","",2,"C",20162,"","","Research",2016,0
"12",106312,1,233,"['CLASS']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20162,"","","Research",2016,0
