"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",11303,1,11,"['AMST']","","",NA,"['James Farrell']",200,"","Academic Internship","",294,"True","False","",2,"O",20052,"","Internship","Research",2005,1
"2",11304,1,18,"['ART']","This course introduces fundamental technical and perceptual skills of drawing, including the basic elements of mark, line, value, texture, form, space and their dynamics in composition. By translating observed subjects onto two-dimensional surfaces, students explore drawing as a means to self-expression, as a springboard to understanding how ideas are given visible form and as a cornerstone of artistic practice. Lab fee.","",NA,"['Jil Evans']",100,"['DC 216', 'DC 216', 'DC 216']","Foundation Drawing","",110,"False","False","",2,"C",20052,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Foundation Perceptual and Conceptual Drawing","Research",2005,21
"3",11305,1,48,"['ART']","This course provides intensive exposure to career opportunities in the field of art including advertising, graphics, illustration, film, television, computer graphics, architecture, textile design and fine art (painting, sculpture, etc.). Working five to seven hours a day, students interview over 25 artists/designers during the month, visit more than 100 galleries and museums and write extensively about artists and artwork. This course does not count toward the minimum major in studio art or art history. Prerequisites: Art 253 (preferred) or Art 252. Offered Interim only.","",NA,"['Margaret Ojala']",200,"","Manhattan Art Interim","",246,"False","Prerequisites: Art 253 (preferred) or Art 252. Offered Interim only.","",2,"C",20052,"","Manhattan Interim in New York City","Research",2005,18
"4",11306,1,52,"['ART']","This course is an introduction to postmodern art and thought through a survey of painting, sculpture, architecture, and new-media arts produced mostly in the United States since the Cold War era. Students learn about celebrated art and artists, major values informing their work, and ways of analyzing and making sense of newer art.","",NA,"['Matthew Rohn']",200,"['DC 305']","Art Since 1950","",253,"False","False","",2,"C",20052,"['M-F 0800-1000']","","Research",2005,29
"5",11307,1,54,"['ART']","There is no substitute for direct, personal experience. In Italy, students study Renaissance and Medieval paintings, sculptures and buildings in context. Students examine the works that went before the Renaissance and the ones which came afterwards to work out for themselves what made Italian art special and what value it has for us today.","",NA,"['Nancy M. Thompson']",200,"","Ital Art in Context","",255,"False","False","",2,"C",20052,"","Italian Art in Context","Research",2005,20
"6",11308,1,62,"['ART']","This course is an introductory exploration of Scandinavian visual arts and the cultural and historical forces related to them. The span of time, specific cultures covered and art forms studied varies depending upon the instructor.","",NA,"['Kristi Holden']",200,"['DC 305']","Arts of Scandinavia","",266,"False","False","",2,"O",20052,"['M-F 0100-0300PM']","","Research",2005,19
"7",11309,1,68,"['ART']","","",NA,"['Wendell Arneson']",200,"","Academic Internship","",294,"True","False","",2,"O",20052,"","","Research",2005,3
"8",11310,1,69,"['ART']","","",NA,"['Heather M. Brooks-Shirey']",200,"","IS/Costa Rican Art","",298,"False","False","",2,"O",20052,"","","Research",2005,1
"9",11311,1,73,"['ART']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"O",20052,"","","Research",2005,0
"10",11312,1,75,"['ART']","Prerequisites: three courses in area of study.","",NA,"['Wendell Arneson']",300,"","IR/Ind. Painting","",398,"False","Prerequisites: three courses in area of study.","",2,"O",20052,"","Independent Research: Art History","Research",2005,1
"11",11314,1,80,"['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences and communication styles. The course will be taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation) and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures and discussions are all in English. The prerequisite for 226 is Japanese 231.","",NA,"['Rika Ito']",100,"['OM 002']","Japanese Lang/Society","",126,"False","False","",2,"O",20052,"['M-F 0100-0300PM']","Japenese Language in Society","Research",2005,13
"12",11315,1,85,"['ASIAN']","In this Interim course students who have completed the Asian Conversations sequence travel to sites in China and Japan in order to experience those cultures firsthand and to study Chinese and Japanese constructions of national identity. Through readings, site visits, interactions with peers in the target languages, homestays and journal writing in both English and their target language, students learn about how Asians in these two countries perceive themselves and their role in the region and in the world, both in the past and in the present. They travel to Shanghai, Nanjing, Beijing, Nagasaki and Tokyo. Prerequisite: Asian Studies 211 or permission of the instructor.","",NA,"['Karil J. Kucera']",200,"","Nat ID/China & Japan","",212,"False","Prerequisite: Asian Studies 211 or permission of the instructor.","",2,"C",20052,"","Asian Conversations: National Identity in China and Japan","Research",2005,22
"13",11316,1,86,"['ASIAN']","This course explores major aspects of language use that reflect Japanese culture and society. Issues covered include the characteristics of the Japanese language, loan words, regional differences, politeness, gender differences and communication styles. The course will be taught in a combination of lectures, class discussions, subtitled Japanese films, anime (Japanese animation) and student presentations. There are no prerequisites for 126; knowledge of Japanese helpful but not necessary. Readings, lectures and discussions are all in English. The prerequisite for 226 is Japanese 231.","",NA,"['Rika Ito']",200,"['OM 002']","Top: Japan Lang & Soc","",226,"False","False","",2,"C",20052,"['M-F 0100-0300PM']","Japenese Language in Society","Topic",2005,1
"14",11317,1,88,"['ASIAN']","Students explore the major genres of Chinese literature -- poetry, short story, novel and drama -- in English translation. A small number of major works are singled out for close attention.","",NA,"['Pin Pin Wan']",200,"['OM 002']","Chinese Lit--Tr","",236,"False","False","",2,"O",20052,"['M-Th 1040-1240PM']","Chinese Literature","Research",2005,30
"15",11318,1,90,"['ASIAN']","","",NA,"['Katherine S. Tegtmeyer Pak']",200,"['DC 204']","Intl Politics Ne Asia","",245,"False","False","",2,"O",20052,"['M-F 1040-1240PM']","","Research",2005,7
"16",11319,1,93,"['ASIAN']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"O",20052,"","","Research",2005,0
"17",11320,1,94,"['ASIAN']","","",NA,"['Pin Pin Wan']",200,"","IS/Chinese Architect","",298,"False","False","",2,"O",20052,"","Independent Study","Research",2005,1
