"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"108",108017,1,618,"['HIST']","In this study of African-Americans in U. S. society from African origins to the present, students explore the African heritage, the experience of slavery, segregation, and the rise of the Civil Rights movement of the 1960s. The course pays particular attention to the issue of black nationalism as a force in American life. Offered periodically. Counts toward American studies and race and ethnic studies majors and race and ethnic studies and Africa and the Americas concentrations.","['HWC', 'MCD']",NA,"",NA,"['Michael Fitzgerald']",200,"['TOH 314', 'TOH 314']","African-American Hist","",277,"False","False","",3,"C",20163,"['T 1145-0110PM', 'Th 1245-0205PM']","African-American History","Research",2016,0
"112",108022,1,570,"['HIST']","This seminar examines American society since 1945. The main focus is social history. Topics include the impact of the Cold War, migration to the suburbs, post-industrial society, the culture of the 1950s, civil rights, the Vietnam War, the student movement, the sexual revolution, and Watergate. Sources include novels, essays, magazine stories, films, and documentaries. Offered annually. Counts toward American studies major, women's and gender studies major and concentration, and media studies concentration.","['HWC', 'MCD', 'WRI']",NA,"",NA,"['Judy Kutulas']",100,"['RML 520']","America Since 1945","Open to first-year students only.",182,"False","False","",3,"C",20163,"['MWF 0200-0255PM']","","Research",2016,0
"205",108154,1,22782,"['NEURO']","Neuroscience is one of the fastest-growing fields in the sciences, with research interests ranging from molecular genetics to whole animal behavior. Topics include membrane biophysics, synaptic transmission and plasticity, intracellular signaling, sensory transduction, motor control systems, and development. Offered annually in the spring semester. Counts toward biology and exercise science majors and mathematical biology concentration. Prerequisite: BIO 143 or CH/BI 227 or BIO 227 or PSYCH 238.","['IST', 'SED']",22782,"",NA,"['James Demas']",200,"['RNS 190']","Cell/Molec Neuroscience","Students in Neuro 239 must also register for one lab Neuro 239 AL or BL.",239,"False","Prerequisite: BIO 143 or CH/BI 227 or BIO 227 or PSYCH 238.","",3,"O",20163,"['MWF 1045-1140']","Cellular and Molecular Neuroscience","Research",2016,0
"220",108175,1,406,"['ENGL']","Students read and discuss children's literature from Britain and the United States. Beginning with fairy tales and classics from the ""golden age"" of children's literature, students explore an array of picture books, poetry, and fiction, that exemplifies the best in fantasy and realism for children and young adults. Counts toward women's and gender studies major; educational studies and women's and gender studies concentrations. Prerequisite: FYW.","['ALS-L']",NA,"",NA,"['Karen E. Marsalek']",200,"['RML 515']","Children's & Young Adult Literature","",242,"False","Prerequisite: FYW.","",3,"C",20163,"['MWF 1150-1245PM']","Children's and Young Adult Literature","Research",2016,0
"238",108223,1,371,"['DANCE']","Students trace and integrate the African-American and Euro-American dance traditions of the late 19th, 20th, and early 21st centuries, paying attention to their similarities and differences.The focus is on the theatrical dance genres of ballet, modern, and jazz (includes social dance, tap, and some musical theatre dance). At the same time, the course attends to the economic, religious, political, and social forces that have affected the development of dance in the United States. No dance experience required. Ticket/transportation fee required. Offered annually in the spring semester. Counts toward race and ethnic studies, American studies, and women's and gender studies majors and race and ethnic studies and women's and gender studies concentrations.","['ALS-A', 'MCD', 'WRI']",NA,"",NA,"['Heather J. Klopchin']",200,"['CAD 305']","Dance in United States","",246,"False","False","",3,"C",20163,"['MWF 1255-0150PM']","Dance in the United States","Research",2016,0
"239",108224,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Offered annually in the spring semester. Counts toward American studies major. Prerequisite: AMCON 101.","['FYW', 'HWC']",NA,"",NA,"['Eric J. Fure-Slocum', 'L. DeAne Lagerquist']",100,"['TOH 210']","Democratic Vistas: 1800-1900","Open to American Conversations students only. This course includes an academic civic engagement (ACE) component.",102,"False","Prerequisite: AMCON 101.","A",3,"C",20163,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2016,0
"240",108225,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Offered annually in the spring semester. Counts toward American studies major. Prerequisite: AMCON 101.","['FYW', 'HWC']",NA,"",NA,"['Eric J. Fure-Slocum', 'L. DeAne Lagerquist']",100,"['TOH 212']","Democratic Vistas: 1800-1900","Open to American Conversations students only. This course includes an academic civic engagement (ACE) component.",102,"False","Prerequisite: AMCON 101.","B",3,"C",20163,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2016,0
"241",108228,1,164,"['BIO']","The last decade has unveiled the mechanism by which a single cell gives rise to an embryo rich in pattern and cellular diversity. This course traces the use of surgical, genetic, and molecular techniques as they have uncovered the developmental blueprints encoding the universal body plan fundamental to all metazoan life. Students attend lectures plus one three-hour laboratory per week. Counts toward neuroscience and biomolecular science concentrations. Prerequisite: BIO 233.","['WRI']",164,"",NA,"['Eric Cole']",300,"['RNS 435', 'RNS 435']","Developmental Biology","Open to juniors and seniors only. Students in Bio 372 must also register for one lab Bio 372 AL or BL.",372,"False","Prerequisite: BIO 233.","",3,"C",20163,"['T 0935-1100', 'Th 0930-1050']","","Research",2016,0
"244",108231,1,1168,"['PSYCH']","This course helps students better understand human development from the moment of conception and across the life span. The course focuses on biological and environmental factors that shape human development. Major changes in physical, cognitive, personality and social development are discussed. Offered each semester. Counts toward exercise science, nursing, social work, and women's and gender studies majors and educational studies, family studies, and women's and gender studies concentrations. Prerequisite: PSYCH 125.","['HBS']",NA,"",NA,"['Daniel R. Nelson']",200,"['RNS 190']","Developmental Psych","",241,"False","Prerequisite: PSYCH 125.","A",3,"C",20163,"['MWF 0800-0855']","Developmental Psychology","Research",2016,0
"245",108232,1,1168,"['PSYCH']","This course helps students better understand human development from the moment of conception and across the life span. The course focuses on biological and environmental factors that shape human development. Major changes in physical, cognitive, personality and social development are discussed. Offered each semester. Counts toward exercise science, nursing, social work, and women's and gender studies majors and educational studies, family studies, and women's and gender studies concentrations. Prerequisite: PSYCH 125.","['HBS']",NA,"",NA,"['Daniel R. Nelson']",200,"['RNS 190']","Developmental Psych","",241,"False","Prerequisite: PSYCH 125.","B",3,"C",20163,"['MWF 0905-1000']","Developmental Psychology","Research",2016,0
