"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"100",100754,1,18780,"['ASIAN']","Students pursue guided fieldwork experience in the country whose language they study, either Japan or China. Activities and readings in this course build on the topics from ASIAN 210 and three semesters of language study. Students continue to explore their understanding of Asia through ethnographic observation, interviews, and site visits. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian""culture and society today. Offered during Interim. Prerequisite: ASIAN210.","",NA,"","['Caleb Boteilho', 'Barbara Reed']",200,"","AsianCon2: Encounter Asia","Registration restricted to students in the Asian Con program. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",215,"False","Prerequisite: ASIAN210.","",2,"C",20152,"","Asian Conversations II: Encountering Asia","Research",2015,38
"101",100755,1,19742,"['ASIAN']","Students pursue guided fieldwork experience in the United States. Activities and readings in this course build on the topics from ASIAN 210 and three semesters of language study. Students reflect on the experience of Asians in America through readings, site visits, and local interviews. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Offered during Interim. Prerequisite: ASIAN 210.","",NA,"","['Staff']",200,"","AsianCon2:Asia in America","",216,"False","Prerequisite: ASIAN 210.","",2,"C",20152,"","Asian Conversations II: Encountering Asia in America","Research",2015,0
"110",100804,1,21394,"['FREN']","Students study French language and Moroccan culture in the imperial city of Fes. An immersion experience that includes home stays with local French-speaking families, the course focuses on Moroccan culture past and present, emphasizing the multicultural aspects of Morocco and facilitating student interaction with the local population. Field trips to various sites in and around Fes, day-long visits to Meknès and Moulay Idriss, and a longer excursion to Marrakech and Casablanca. Review of second-year French grammar is integrated into the reading and discussion of texts pertaining to Morocco's history and culture and their relation to present-day Morocco. Taught in French. Offered during Interim. Open to first-year students. Counts toward middle eastern studies concentration. Prerequisite: FREN 231 or placement in FREN 232.","['FOL-F', 'MCG']",NA,"","['Amine R. Bekhechi']",200,"","Fr Lang/Moroccan Culture","Open to all students who meet the prerequisites. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",235,"False","Prerequisite: FREN 231 or placement in FREN 232.","",2,"C",20152,"","French Language and Moroccan Culture in Fes","Research",2015,12
"239",101049,1,24283,"['PSCI']","This class aims to better understand the racial climate in the United States, and the implications for American politics. Differing analytical perspectives from political science are used to interpret the role of race. A central question is the degree to which ""post-racial"" is an appropriate description of the current era. Counts toward race and ethnic studies and American studies majors and race and ethnic studies concentration.","['HBS', 'MCD']",NA,"","['Joshua Anderson']",200,"['TOH 314']","Race and Politics","Open to first-year students. This course has class year limits.",244,"False","False","",2,"C",20152,"['M-F 1040-1240PM']","Race and American Politics","Research",2015,26
"257",101102,1,308,"['EDUC']","In this course, students examine how schools and communities in the Twin Cities interact to provide support and developmental opportunities for school-age children. Through lectures, readings, discussions, field trips, and in-school and co-curricular placements, students gain an understanding and awareness of how race, class, ethnicity, national origin, and gender shape the complex character of urban youth and schools. Students spend one week in orientation activities on campus and two weeks in the Twin Cities. During the time in the Twin Cities, St. Olaf students participate as tutors and classroom assistants during the school day and then assist in various after-school and community programs. The last week of Interim is spent back on campus discussing the experience. Fulfills EDUC 382: Human Relations requirement. P/N only. Open to first-year students. Offered during Interim. Counts toward race and ethnic studies and American studies majors and race and ethnic studies concentration.","['MCD']",NA,"","['Maurella Cunningham']",100,"","Urban Schools and Communities","Open to First-Year Students and Sophomores only. Admission by interview.",170,"True","False","",2,"C",20152,"","","Research",2015,15
"258",101103,1,339,"['EDUC']","This program provides an opportunity for students to gain direct teaching experience by serving as an intern/paraprofessional for a teacher in a Minneapolis/St. Paul public school. The Interim will heighten students' sensitivities to the complexities of multicultural, urban education and provide exposure to models used to foster educational and personal success in diverse student populations. On/off-campus orientation will be followed by four weeks of full-time work in a classroom with a host teacher and participation in weekly seminars with the college instructor. Reading assignments, journals, and guest speakers will complement the experience. Fulfills EDUC 382: Human Relations requirement. P/N only. Apply through Education Department by Oct.15. Offered during Interim. Counts toward race and ethnic studies major and concentration and American studies major. Prerequisites: EDUC 260 and EDUC 290 or EDUC 330 or permission of instructor.","['MCD']",NA,"","['Rosemary A. Pfarr-Baker']",300,"","Urban Education Practicum & Seminar","Admission by application. Prerequisite: EDUC 330. Only open to Seniors and Juniors.",379,"True","Prerequisites: EDUC 260 and EDUC 290 or EDUC 330 or permission of instructor.","",2,"C",20152,"","Urban Education Practicum and Seminar","Research",2015,23
"260",101110,1,24362,"['PHIL']","Judo is an Olympic sport and martial art widely known for its dynamic throws, slick submissions, and grueling conditioning. However, the founder of judo also intended it to be a system of moral education rooted in the philosophical traditions of Japan. In this course students learn the physical aspects of judo through intensive practice and the philosophical aspects of judo through studying Zen Buddhism and the writings of judo's founder, Jigoro Kano. Offered during Interim. Counts toward Asian studies major and concentration.","['SPM']",NA,"","['Danny Munoz-Hutchinson']",100,"['SAC Wr Rm']","Zen and Art of Judo","Open to all students. This course has class-year limits.",127,"False","False","",2,"C",20152,"['M-F 1040-1240PM']","Zen and the Art of Judo","Research",2015,20
"272",102931,1,261,"['ECON']","This course tracks economic development in China with emphasis on Shanghai. The course examines the emergence and evolution of markets in rural, urban, commercial, and financial centers and how the changes affect culture, attitudes, customs, and life of the people. Shanghai will be compared with other Chinese cities, including Nanjing, Suzhou, Hangzhou and Hong Kong. The role of Hong Kong in China's reform and its integration since 1997 is also discussed. Offered alternate Interims. Counts toward Asian studies major and concentration. Prerequisites: one of Economics 110-121 or permission of instructor.","['HBS', 'MCG']",NA,"","['Xun Pomponio']",200,"","Econ Progress China","This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",218,"False","Prerequisites: one of Economics 110-121 or permission of instructor.","",2,"C",20152,"","Economic Progress in China","Research",2015,24
"273",102932,1,338,"['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 schools. Students discover the challenges and benefits associated with teaching in a diverse racial, cultural and socio-economic environments. Through guest lectures, readings, field trips and seminars, students learn about the truly unique geographic and cultural setting of the Hawaiian islands. This environment makes an excellent framework to examine diversity on the mainland. Fulfills EDUC 382: Human Relations requirement. P/N only. Offered alternate Interims. Counts toward race and ethnic studies and American studies majors and race and ethnic studies concentration. Prerequisite: EDUC 260 or EDUC 330.","['MCD']",NA,"","['Elizabeth A. Leer']",300,"","Multicultural Education in Hawaii","This is an off-campus course. You will find this course listed in Studio Abroad under its course title. Admission by application. Prerequisite: EDUC 260 or EDUC 330. This course is not open to first-year students.",378,"True","Prerequisite: EDUC 260 or EDUC 330.","",2,"C",20152,"","Multicultural Education in Hawaii: Seminar and Practicum","Research",2015,23
"274",102939,1,382,"['ENGL']","Students examine various heroic and trickster figures as manifested in post-colonial literature from Africa, Asia, and the Caribbean, both oral and written, and seek to understand what basic human needs and realities these figures express and fulfill. Counts toward race and ethnic studies major and concentration and Africa and the Americas concentration.","['ALS-L', 'MCG']",NA,"","['Joseph L. Mbele']",100,"['RML 515']","Trickstr/Post-Col Lit","",108,"False","False","",2,"C",20152,"['M-F 1040-1240PM']","The Hero and the Trickster in Post-Colonial Literature","Research",2015,31
