"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"126",101260,1,18781,"['ASIAN']","In this final semester in Asian Conversations students examine modern reinterpretations of traditional Asia focusing on major social and cultural aspects of the 19th through 21st centuries. Students engage with primary and secondary texts through written and oral presentation, including materials collected during Interim. Offered annually in the spring semester. Prerequisite: CHIN 231 or JAPAN 231 and ASIAN 215 or ASIAN 216.","['ALS-A', 'ALS-L', 'HBS', 'MCG', 'ORC', 'WRI']",NA,"",NA,"['Thomas A. Williamson', 'Robert Entenmann']",200,"['TOH 210', 'TOH 210']","AsiaCon3:InterpretJourney","Registration restricted to students in the Asian Con program.",220,"False","Prerequisite: CHIN 231 or JAPAN 231 and ASIAN 215 or ASIAN 216.","",3,"C",20153,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations III: Interpreting Journeys","Research",2015,38
"175",101324,1,1191,"['REL']","BELONGING AS BLESSING AND CHALLENGE. Throughout the Bible we find stories of conflict and hope within families, communities, and nations. Lines are drawn and identities defined as individuals and groups interpret their relationship with God and with one another. In this section we will discuss how kinship, ethnicity, and friendship function within key Biblical narratives. How are various identities defined and contested? Are the boundaries fixed or porous? Making use of historical, literary, and theological methods we will examine the benefits and burdens of belonging. While looking at the Bible we will also examine our own context and questions about identity, racism, political power, and social solidarity.","['BTS-B']",NA,"",NA,"['Anthony Bateza']",100,"['OM 305', 'OM 305']","Bible/Culture/Commun","Section title: Belonging as Blessing and Challenge.",121,"False","False","L",3,"C",20153,"['T 0935-1100', 'Th 0930-1050']","Bible in Culture and Community","Research",2015,18
"177",101326,1,1191,"['REL']","THE BIBLE IN THE AGE OF FERGUSON: The shooting of an unarmed 18 year-old black man, Michael Brown, in Ferguson, MO, August 9th, 2014, by white police officer Darren Wilson re-sparked nationwide conversations about race in the U.S. Questions about systemic racial injustice, policing, white privilege, and culture entered the public in ways both old and new, from protests invoking Hands up, Dont shoot to the Black Lives Matter movement. This section of 121 takes these current conversations about race and racial injustice as a starting point. We will work through contemporary cultural biblical studies and engage contemporary critical race theory along the way. Alongside biblical texts, well read poets like Claudia Rankine and her prophetic lyric Citizen, Ta-Nehisi Coates' Between the World and Me, womanist scholarship like Kelly Brown Douglas' Stand Your Ground: Black Bodies and the Justice of God, and theologian James Cones most recent work, The Cross and the Lynching Tree.","['BTS-B']",NA,"",NA,"['Jacob J. Erickson']",100,"['OM 020', 'OM 020']","Bible/Culture/Commun","Section title: The Bible in the Age of Ferguson.",121,"False","False","N",3,"C",20153,"['T 1145-0110PM', 'Th 1245-0205PM']","Bible in Culture and Community","Research",2015,19
"178",101327,1,1191,"['REL']","BELONGING AS BLESSING AND CHALLENGE. Throughout the Bible we find stories of conflict and hope within families, communities, and nations. Lines are drawn and identities defined as individuals and groups interpret their relationship with God and with one another. In this section we will discuss how kinship, ethnicity, and friendship function within key Biblical narratives. How are various identities defined and contested? Are the boundaries fixed or porous? Making use of historical, literary, and theological methods we will examine the benefits and burdens of belonging. While looking at the Bible we will also examine our own context and questions about identity, racism, political power, and social solidarity.","['BTS-B']",NA,"",NA,"['Anthony Bateza']",100,"['OM 305', 'OM 305']","Bible/Culture/Commun","Section title: Belonging as Blessing and Challenge.",121,"False","False","O",3,"C",20153,"['T 1145-0110PM', 'Th 1245-0205PM']","Bible in Culture and Community","Research",2015,19
"225",101408,1,569,"['HIST']","Students examine the overthrow of American segregation through several decades of agitation for civil rights. This seminar focuses primarily on the South, though students also discuss northern race relations. Primary accounts from the era constitute the assigned readings. Among the topics covered are the segregated South, Martin Luther King and his critics, the Black Power movement, and the rise of white backlash politics. Offered periodically. Counts toward race and ethnic studies and American studies majors and race and ethnic studies and Africa and the Americas concentrations.","['HWC', 'MCD']",NA,"",NA,"['Michael Fitzgerald']",100,"['DC 202']","Civil Rights Revolution","Open to first-year students only.",181,"False","False","",3,"C",20153,"['MWF 1150-1245PM']","","Research",2015,18
"226",101414,1,1181,"['PSYCH']","This course examines several major theoretical perspectives on psychotherapy. Students review empirically supported treatments for specific clinical disorders, as well as ""nonspecific"" factors that affect the therapeutic process. Students explore ethical and legal challenges related to psychotherapy delivery, as well as multicultural and other diversity issues. Course format is primarily discussion-based. Offered annually. Counts toward management studies concentration and biomedical studies concentration (for students through class of 2016). Prerequisites: junior or senior standing and PSYCH 230, plus PSYCH 244 or PSYCH 247.","",NA,"",NA,"['Carlo O. Veltri']",300,"['RNS 124']","Clinical/Counseling Psych","",375,"False","Prerequisites: junior or senior standing and PSYCH 230, plus PSYCH 244 or PSYCH 247.","",3,"C",20153,"['MWF 0200-0255PM']","Clinical and Counseling Psychology","Research",2015,15
"242",101433,1,21544,"['HIST']","This seminar examines one of history's most dramatic episodes: the Spanish conquest and colonization of Mexico. Through the reading of manifestos, letters, and chronicles of the period, students examine such topics as European and indigenous perceptions of the conquest, the role of missionaries, native efforts to resist Spanish domination, the ecological/biological consequences of 1492, and subsequent debates over the morality and meaning of the conquest. Offered periodically. Counts toward the History and Latin American Studies major, and the Latin American Studies concentration.","['MCG', 'WRI']",NA,"",NA,"['Jeane DeLaney']",100,"['BMC 202', 'BMC 202']","Conquest and Colonization","Open to first-year students only.",126,"False","False","",3,"C",20153,"['T 0935-1100', 'Th 0930-1050']","","Research",2015,18
"247",101443,1,371,"['DANCE']","Students trace and integrate the African-American and Euro-American dance traditions of the late 19th, 20th, and early 21st centuries, paying attention to their similarities and differences.The focus is on the theatrical dance genres of ballet, modern, and jazz (includes social dance, tap, and some musical theatre dance). At the same time, the course attends to the economic, religious, political, and social forces that have affected the development of dance in the United States. No dance experience required. Ticket/transportation fee required. Offered annually in the spring semester. Counts toward race and ethnic studies, American studies, and women's and gender studies majors and race and ethnic studies and women's and gender studies concentrations.","['ALS-A', 'MCD', 'WRI']",NA,"",NA,"['Heather J. Klopchin']",200,"['RNS 290']","Dance in United States","",246,"False","False","",3,"C",20153,"['MWF 1255-0150PM']","Dance in the United States","Research",2015,33
"248",101444,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Offered annually in the spring semester. Counts toward American studies major. Prerequisite: AMCON 101.","['FYW', 'HWC']",NA,"",NA,"['Judy Kutulas', 'Matthew Rohn']",100,"['TOH 210']","Democratic Vistas: 1800-1900","Open to American Conversations students only.",102,"False","Prerequisite: AMCON 101.","A",3,"C",20153,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2015,17
"249",101445,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Offered annually in the spring semester. Counts toward American studies major. Prerequisite: AMCON 101.","['FYW', 'HWC']",NA,"",NA,"['Judy Kutulas', 'Matthew Rohn']",100,"['TOH 214']","Democratic Vistas: 1800-1900","Open to American Conversations students only.",102,"False","Prerequisite: AMCON 101.","B",3,"C",20153,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2015,20
