"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"12",11315,1,85,"['ASIAN']","In this Interim course students who have completed the Asian Conversations sequence travel to sites in China and Japan in order to experience those cultures firsthand and to study Chinese and Japanese constructions of national identity. Through readings, site visits, interactions with peers in the target languages, homestays and journal writing in both English and their target language, students learn about how Asians in these two countries perceive themselves and their role in the region and in the world, both in the past and in the present. They travel to Shanghai, Nanjing, Beijing, Nagasaki and Tokyo. Prerequisite: Asian Studies 211 or permission of the instructor.","",NA,"['Karil J. Kucera']",200,"","Nat ID/China & Japan","",212,"False","Prerequisite: Asian Studies 211 or permission of the instructor.","",2,"C",20052,"","Asian Conversations: National Identity in China and Japan","Research",2005,22
"15",11318,1,90,"['ASIAN']","","",NA,"['Katherine S. Tegtmeyer Pak']",200,"['DC 204']","Intl Politics Ne Asia","",245,"False","False","",2,"O",20052,"['M-F 1040-1240PM']","","Research",2005,7
"62",11367,1,308,"['EDUC']","Through lectures, readings and field placements in Minneapolis, students gain an understanding of how race, class, ethnicity, national origin, gender, sexual orientation and religion shape the character of urban youth and communities. Students spend the first week on campus in preparation for their placements and the last week reflecting upon their experiences. During weeks two and three students live in Minneapolis and tutor in the schools and participate in various after-school activities. Counts toward the major: American Racial and Multicultural Studies.","",NA,"['Daniel R. Forstner']",100,"","Schools & Communities","",170,"True","False","",2,"C",20052,"","Urban Schools and Communities","Research",2005,22
"66",11371,1,338,"['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 settings. Through guest lectures, readings, field trips and seminars, students explore the unique geography and culture of the Hawaiian Islands and develop a framework for examining diversity on the mainland. Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. Fulfills Education 382 and partially fulfills clinical practicum requirements. Students apply in the Spring Semester. Counts toward the major: American Racial and Multicultural Studies.","",NA,"['Mark Schelske']",300,"","Multi-Cult Ed Hawaii","",378,"True","Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. Fulfills Education 382 and partially fulfills clinical practicum requirements. Students apply in the Spring Semester. Counts toward the major: American Racial and Multicultural Studies.","",2,"C",20052,"","Multicultural Education in Hawaii: Seminar and Practicum","Research",2005,21
"67",11372,1,339,"['EDUC']","Students working as tutors and teacher aides gain direct teaching experience in urban schools. This course is designed to heighten students' sensitivities to the complexities of the education of urban youth in a multicultural setting. Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. The course fulfills Education 382 and partially fulfills clinical practicum requirements. Counts toward the major: American Racial and Multicultural Studies.","",NA,"['Rosemary A. Pfarr-Baker']",300,"","Urban Alternative Ed","",379,"True","Prerequisite: Education 290, 2.7 GPA, meeting all off-campus study requirements and satisfactory portfolio progress. The course fulfills Education 382 and partially fulfills clinical practicum requirements. Counts toward the major: American Racial and Multicultural Studies.","",2,"C",20052,"","Urban Education Seminar & Practicum","Research",2005,39
"76",11381,1,382,"['ENGL']","Students examine various heroic and trickster figures as manifested in post-colonial literature from Africa, Asia and the Caribbean, both oral and written, and seek to understand what basic human needs and realities these figures express and fulfill.","",NA,"['Joseph L. Mbele']",100,"['RML 421']","Trickstr/Post-Col Lit","",108,"False","False","",2,"O",20052,"['M-F 0100-0300PM']","The Hero and the Trickster in Post-Colonial Literature","Research",2005,24
"90",11396,1,481,"['FREN']","Students travel to the Caribbean island of Martinique to study French language and French-Caribbean culture at the upper-intermediate level. An immersion experience that includes home stays with local families, the course emphasizes the multicultural aspects of this region and facilitates student interaction with the local population. Field trips, events, lectures and language instruction are conducted by experts on the campus of the Universitè des Antilles. Prerequisite: French 231 or higher (or equivalent) or placement in French 232 or higher. Open to first-year students.","",NA,"['Herve Pensec']",200,"","Lang/Cul Fr Caribbean","",233,"False","Prerequisite: French 231 or higher (or equivalent) or placement in French 232 or higher. Open to first-year students.","",2,"C",20052,"","Language and Culture Studies in Martinique","Research",2005,14
"116",11424,1,606,"['HIST']","This course examines the history of 20th-century Cuba, especially the 1959 revolution and its aftermath. We will study the transformation of Cuban political culture, the obstacles to economic and agrarian reform, education, the role of women, human rights, U.S. policies toward Cuba and the future of Cuba after the breakup of the Soviet Union. The role of charismatic leadership in Latin America and the possibilities for revolutionary changes in the Americas are also examined. Offered periodically during Interim.","",NA,"['Jeane DeLaney']",200,"['HH 301']","20th Century Cuba","",243,"False","False","",2,"O",20052,"['M-F 0100-0300PM']","20th-Century Cuba","Research",2005,31
"135",11444,1,703,"['ID']","","",NA,"['Helena Pohlandt-McCormick', 'Eric Lund']",200,"","Hist/Rel S Africa","",252,"False","False","",2,"C",20052,"","","Research",2005,25
"185",11496,1,979,"['PHIL']","Students examine main Western ethical perspectives and how they apply to selected contemporary moral concerns. Theoretical issues include rights, duties, virtue, hedonism, egoism, the good life, ethics and theology, the fact-value distinction, relativism and pluralism. Students discuss current topics such as economic justice, death, friendship, animal rights, censorship, racism, privacy, reproductive ethics and environmental ethics.","",NA,"['Jennifer C. Manion']",200,"['OM 026']","Ethics/The Good Life","",252,"False","False","",2,"C",20052,"['M-F 0100-0300PM']","Ethics and the Good Life","Research",2005,19
"216",11527,1,1237,"['REL']","The nature and boundaries of communities, as well as the quality of relationships within communities, are determined by theology as well as by social, political and ethnic factors. Students examine the ways in which the world's religions, particularly Christianity, have interpreted each other's significance and truth claims and considers the ethical implications of these different responses. Prerequisite: a BTS-T course.","",NA,"['Anantanand Rambachan']",200,"['BMC 110']","Rel Pluralsm/Communit","",295,"False","Prerequisite: a BTS-T course.","",2,"C",20052,"['M-F 1040-1240PM']","Religious Pluralism and the Nature of Community","Research",2005,23
"226",11537,1,1311,"['SOAN']","This course compares gender patterns and issues in various cultures around the world, such as Latin America, the Middle East, India, the U.S. and East Asia. How do cultural expectations for women and men vary? Why do some societies have more gender equality than others? How do economic and political change, including globalization, impact gender roles? How do U.S. and Third World feminism compare? Offered Fall Semester.","",NA,"['Carolyn Anderson']",200,"['HH 403']","Gender/C-Cult/Persp","",261,"False","False","",2,"C",20052,"['M-F 0100-0400PM']","Gender in Cross-Cultural Perspective","Research",2005,25
"260",47480,1,393,"['ENGL']","The personal essay may contain rumination, memoir, anecdote, diatribe, scholarship, fantasy and moral philosophy. Students will read and write about the personal essay from its origins to the present day as well as craft their own personal essays. Readings range from founding father Montaigne to classic practitioners Charles Lamb and Virginia Woolf; students will also explore multicultural essayists such as Wole Soyinka and American voices from Thoreau to Annie Dillard.","",NA,"['Diana Postlethwaite']",200,"['RML 420']","Personal Essay","",200,"False","False","",2,"C",20052,"['M-F 1040-1240PM']","Reading and Writing the Personal Essay","Research",2005,20
"268",47727,1,16366,"['PSYCH']","Students reflect on their own culture as they explore childhood and family life in China and Japan. Developmental and cross-cultural research, memoirs, works of fiction, and films are used to study parents' beliefs and childrearing practices as well as the development of the self, peer relationships, school achievement, and role changes during adulthood. With life expectancy increasing around the world, students also discover how China and Japan are responding to the graying of their populations. Prerequisites: Psychology 125 or Asian Studies 111 or Asian Studies 121.","",NA,"['Dana Gross']",200,"['HH 307']","Human Dev/China and Japan","",226,"False","Prerequisites: Psychology 125 or Asian Studies 111 or Asian Studies 121.","",2,"O",20052,"['M-F 1040-1240PM']","Human Development in East Asia: Perspectives from China and Japan","Research",2005,18
"270",49141,1,17195,"['ASIAN']","","",NA,"['Holly Ogren']",100,"['OM 001']","Gender in Contemp E Asia","",154,"False","False","",2,"O",20052,"['M-F 0100-0300PM']","","Research",2005,15
"327",49804,1,1316,"['SOAN']","","",NA,"['Thomas A. Williamson']",200,"","IS/Sport in Asia","",298,"False","False","B",2,"O",20052,"","Independent Study","Research",2005,1
