"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"104",68052,1,18780,"['ASIAN']","Students pursue guided fieldwork experience in the country whose language they study, either Japan or China. Activities and readings in this course build on the topics from AS 210 and three semesters of language study. Students explore the double meaning of ""sojourner"" throughout the course: first, as it applies to their own month-long experience, and second, with regard to local informants who lived elsewhere previously. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Offered during Interim.","",NA,"['Karil J. Kucera']",200,"","AsianCon2:Meet Sojourners","Registration restricted to students in the Asian Con program.",215,"False","False","",2,"C",20092,"","Asian Conversations II: Meeting Sojourners","Research",2009,23
"105",68053,1,19742,"['ASIAN']","Students pursue guided fieldwork experience in the United States. Activities and readings in this course build on the topics from AS 210 and three semesters of language study. Students explore the double meaning of ""sojourner"" throughout the course: first, as it applies to their own month-long experience, and second, with regard to local informants who lived elsewhere previously. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Offered during Interim.","",NA,"['Staff']",200,"","AsianCon2:Meet Sojourners","Registration restricted to students in the Asian Con program.",216,"False","False","",2,"C",20092,"","","Research",2009,0
"123",68133,1,1329,"['SPAN']","Students explore geographic, economic, political, and ethnic dimensions of life in Costa Rica by combining intensive course work with such cross-cultural experiences as a homestay in San Jose, field work, visits to sites of cultural interest, and excursions to the Atlantic and Pacific coasts. They consolidate their language skills and continue to develop their skills for analyzing and communicating in Spanish through compositions, oral presentations, and interviews of Costa Ricans. Prerequisite: Spanish 231 or placement.","['FOL-S', 'MCG']",NA,"['Leon Narvaez']",200,"","Inter Span II-C Rica","Open to all students who meet the requirements. This is an off-campus course.",234,"False","Prerequisite: Spanish 231 or placement.","",2,"C",20092,"","Intermediate Spanish II in Costa Rica","Research",2009,22
"125",68137,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered each semester and during Interim.","",NA,"['Kris A. Cropsey']",200,"['OM 030', 'OM 030']","Intermed Spanish I","Open to all students who meet the requirements. This course has class-year limits.",231,"False","Prerequisite: Spanish 112 or placement. Offered each semester and during Interim.","",2,"C",20092,"['M-F 1040-1140', 'M-F 0100-0300PM']","Intermediate Spanish I","Research",2009,21
"230",68282,1,19727,"['ASIAN']","This core course of Asian Studies introduces students to modern Chinese literature and society. It examines canonical and popular works of Chinese writings including fiction, drama, autobiography, correspondences, and poetry written in classical and modern styles from the late nineteenth century to the early twenty-first century. Films also serve as supplementary material when appropriate. Students read texts in translation and approach them in the context of modern Chinese society. They also study the literature as it reflects China's interaction with the West and the country's struggle to define itself as a modern nation. Offered annually.","['ALS-L', 'MCG', 'WRI']",NA,"['Luying Chen']",200,"['OM 011']","Modern Chinese Lit & Soc","Open to first-year students.",237,"False","False","",2,"O",20092,"['M-F 0100-0300PM']","Modern Chinese Literature and Society","Research",2009,18
"231",68283,1,1303,"['SOAN']","Southeast Asia is a diverse region, stretching from the sleek high-rises of Singapore to hermetic Rangoon; from Islam to Buddhism; from computer chip manufacture to swidden agriculture. Students read ethnographies, novels, and local histories to better understand Southeast Asian family life, religion, language, and education. Through focusing on the experience of modernity, students examine how Southeast Asians make sense of their group affiliations, their pasts and their futures. The course aims to challenge contemporary understandings of place, entitlement, and home both in Southeast Asia and beyond. Offered annually in the Fall or Spring Semester or during Interim.","['HBS', 'MCG']",NA,"['Thomas A. Williamson']",200,"['HH 302']","Modern Southeast Asia","Open to first-year students. This course has class-year limits.",239,"False","False","",2,"C",20092,"['M-F 1040-0100PM']","","Research",2009,21
"232",68285,1,338,"['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 schools. Kamehameha, in Honolulu, is an affluent, urban, private, Hawaiian cultural immersion school. The Kailua Kona schools, on the big island, are rural, public, mixed-race environments. Students discover the challenges and benefits associated with teaching in a diverse racial, cultural and socio-economic environments. Through guest lectures, readings, field trips and seminars, students learn about the truly unique geographic and cultural setting of the Hawaiian islands. This environment makes an excellent framework to examine diversity on the mainland. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. Prerequisite: Education 290, consent of instructor. Offered during Interim.","['MCD']",NA,"['Elizabeth A. Leer']",300,"","Multi-Cult Ed Hawaii","This is an off-campus course. Admission by interview.",378,"True","Prerequisite: Education 290, consent of instructor. Offered during Interim.","",2,"C",20092,"","Multicultural Education in Hawaii: Seminar and Practicum","Research",2009,19
"244",68312,1,19831,"['PSCI']","We will be based on the Adriatic Coast of Slovenia and travel to Italy, Croatia and Bosnia to study processes of political identity formation in a part of Europe which has seen the collapse of multi-ethnic empires and the multi-ethnic state of Yugoslavia. Students will be in groups representing the concepts used by Charles Tilly to analyze political identity. In group reports, students will construct analytical images of political identities in Piran, Triest, Vukovar, Sarajevo and Mostar.","['HBS', 'MCG']",NA,"['J. Patrick Dale']",200,"","Polit Identity Cent Euro","This is an off-campus course.",240,"False","False","",2,"C",20092,"","Changing Political Identities in Coastal Central Europe","Research",2009,25
"253",68324,1,308,"['EDUC']","In this course, students will examine how schools and communities in the Twin Cities interact to provide support and developmental opportunities for school-age children. Through lectures, readings, discussions, field trips and in-school and co-curricular placements, students gain an understanding and awareness of how race, class, ethnicity, national origin, and gender shape the complex character of urban youth and schools. Students will spend one week in orientation activities on campus and two weeks in the Twin Cities. During the time in the Twin Cities, St. Olaf students will participate as tutors and classroom assistants during the school day and then assist in various after-school and community programs. The last week of Interim will be spent back on campus discussing the experience. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. Open to first-year students. Offered during Interim.","['MCD']",NA,"['Eric McDonald']",100,"","Schools & Communities","Open to First-Year Students and Sophomores only. Admission by interview.",170,"True","False","",2,"C",20092,"","Urban Schools & Communities","Research",2009,19
"263",68352,1,382,"['ENGL']","Students examine various heroic and trickster figures as manifested in post-colonial literature from Africa, Asia, and the Caribbean, both oral and written, and seek to understand what basic human needs and realities these figures express and fulfill.","['ALS-L', 'MCG']",NA,"['Joseph L. Mbele']",100,"['RML 515']","Trickstr/Post-Col Lit","",108,"False","False","",2,"C",20092,"['M-F 0100-0300PM']","The Hero and the Trickster in Post-Colonial Literature","Research",2009,33
"264",68355,1,339,"['EDUC']","This program provides an opportunity for students to gain direct teaching experience by serving as an intern/paraprofessional for a teacher in a Minneapolis/St. Paul public school. The Interim will heighten students' sensitivities to the complexities of multicultural, urban education and provide exposure to models used to foster educational and personal success in diverse student populations. On/off-campus orientation will be followed by four weeks of full-time work in a classroom with a host teacher and participation in weekly seminars with the college instructor. Reading assignments, journals, and guest speakers will complement the experience. Counts toward major: ARMS. Fulfills Education 382: Human Relations Requirement. Prerequisite: Education 290 or consent of instructor. Apply through Education Department by Oct. 15. Offered during Interim.","['MCD']",NA,"['Rosemary A. Pfarr-Baker']",300,"","Urban Sem & Practicum","Admission by interview.",379,"True","Prerequisite: Education 290 or consent of instructor. Apply through Education Department by Oct. 15. Offered during Interim.","",2,"C",20092,"","Urban Education Practicum and Seminar","Research",2009,24
"266",68361,1,606,"['HIST']","This course examines the history of 20th-century Cuba, especially the 1959 revolution and its aftermath. Students study the transformation of Cuban political culture, the obstacles to economic and agrarian reform, education, the role of women, human rights, U.S. policies toward Cuba, and the future of Cuba after the breakup of the Soviet Union. The role of charismatic leadership in Latin America and the possibilities for revolutionary changes in the Americas are also examined. Offered periodically during Interim.","['MCG']",NA,"['Jeane DeLaney']",200,"['HH 317']","20th Century Cuba","Open to first-year students.",243,"False","False","",2,"C",20092,"['M-F 1040-1240PM']","20th-Century Cuba","Research",2009,25
"279",69753,1,384,"['ENGL']","This course introduces students to poetry from a range of perspectives including, but not limited to the poet's life; the application of categories of analysis such as race, gender, and nationality; poetry as literary craft; and the aesthetic appreciation of poems. To experience the literary medium of poetry in the fullest sense, students are required to write about, memorize, orally interpret/recite, and compose their own poetry.","['ALS-L', 'ORC']",NA,"['Mary Titus']",100,"['RML 515']","Intro to Poetry","",123,"False","False","",2,"C",20092,"['M-F 1040-1240PM']","Introduction to Poetry","Research",2009,31
"281",69755,1,21394,"['FREN']","Students study French language and Moroccan culture in the imperial city of Fes. An immersion experience that includes home stays with local French-speaking families, the course focuses on Moroccan culture yesterday and today, emphasizing the multicultural aspects of Morocco and facilitating student interaction with the local population. Field trips to various sites in and around Fes, day-long visits to Meknès and Moulay Idriss, and a longer excursion to Marrakech and Casablanca. Review of second-year French grammar is integrated into the reading and discussion of texts pertaining to Morocco's history and culture and their relation to present-day Morocco. Taught in French. Prerequisite: French 231 or placement in French 232. Offered during Interim. Open to first-year students.","['FOL-F', 'MCG']",NA,"['Wendy Allen']",200,"","Fr Lang/Moroccan Culture","Open to all students who meet the requirements. This is an off-campus course.",235,"False","Prerequisite: French 231 or placement in French 232. Offered during Interim. Open to first-year students.","",2,"C",20092,"","French Language and Moroccan Culture in Fes","Research",2009,12
"282",69756,1,559,"['HIST']","This seminar examines the Vietnam War in the larger context of Vietnamese history and focusing on the Vietnamese side of history. Themes include the heritage of Vietnamese civilization, French conquest and colonial rule, nationalism and its relationship to Communism, the emergence of two Vietnamese states, and the causes and consequences of the Vietnam War. This course also addresses questions about ideology, the role of the United States in Asia, and the historical processes of nationalism and Communism. Offered during Interim.","['MCG']",NA,"['Robert Entenmann']",100,"['HH 514']","Vietnam","Open to first-year students only.",135,"False","False","",2,"O",20092,"['M-F 0100-0300PM']","Nationalism and Revolution in Vietnam","Research",2009,15
"283",69757,1,565,"['HIST']","On the basis of selected works of O.E. Rølvaag, including Giants in the Earth, this course considers the literature and history of Norwegian America in the later 19th and early 20th centuries. For the sake of comparison students also read selections from other Norwegian and Norwegian-American authors. Topics for consideration include ecology, family, gender, agriculture, economics, technology, urbanization, religion, immigration, ethnicity, and American pluralism. Offered periodically.","['HWC']",NA,"['Todd W. Nichol']",100,"['OM 015']","Rolvaag's America","Open to first-year students only.",168,"False","False","",2,"O",20092,"['M-F 1040-1240PM']","Rølvaag's America","Research",2009,11
"288",69765,1,1142,"['PSCI']","The department periodically offers special topics courses. The specific title of the course will be listed in the Class and Lab Schedule when it is offered.","",NA,"['Christopher B. Chapp']",200,"['RML 577']","Top: Race Am. Politics","",299,"False","False","",2,"O",20092,"['M-F 1040-1240PM']","Topics in Political Science","Topic",2009,19
"292",69905,1,367,"['DANCE']","An introduction to world dance traditions, this course examines dance forms, functions, contexts, and differing aesthetics found in selected cultures of Africa, Asia, Europe, the Middle East, the South Pacific, and Latin America. The course includes lectures, discussions, video-viewing, and required field-trips to dance events, in addition to studio experiences where students learn dances from the cultures studied. No previous dance experience required. A ticket/transportation fee will be collected. Offered during Interim in alternate years.","['ALS-A', 'MCG']",NA,"['Anne von Bibra']",100,"['DC 204', 'DC Studio 1']","World Dance Tradition","",124,"False","False","",2,"C",20092,"['MTThF 1040-1200PM', 'MTThF 0100-0300PM']","World Dance Traditions","Research",2009,24
"297",70004,1,21512,"['MATH']","Islamic art is decorative and based on place geometry. Students study this art, its origins, and its significance, along with cultural topics related to Moroccan life, in the imperial city of Fes. Field work includes identification and analysis of distinct geometrical patterns found on buildings, monuments, and artifacts. Students also use geometry to create their own art. Mosaic designs are still created in Fes, a center for Islamic geometric patterns. Home stays with Moroccan families are an option. Field trips visit sites in and around Fes, with day-long visits to Meknès, Moulay Idriss, and Volubis, and a longer excursion to Marrakech and Casablanca. Offered in Interim.","['AQR', 'MCG', 'ORC']",NA,"['Richard Allen']",200,"","Geometry/Art in Morocco","Off-campus course.",218,"False","False","",2,"C",20092,"","Geometry and Decorate Art in Morocco","Research",2009,24
"299",70054,1,1219,"['REL']","Through visits to the area around Cape Town and Johannesburg/Pretoria, this course examines cultural diversity in South Africa and the important role religion has played in shaping and sustaining the identity of various ethnic and racial groups. Students study the way religious ideas were used to defend the apartheid system and also to justify protest against it. They analyze organizations, post-apartheid, to build a multi-racial democracy and a just social order. Prerequisite: BTS-B. Offered during Interim 2009-10.","['MCG']",NA,"['Eric Lund']",200,"","Rel of South Africa","",251,"False","Prerequisite: BTS-B. Offered during Interim 2009-10.","",2,"C",20092,"","Religion and Cultural Diversity in South Africa","Research",2009,24
"300",70060,1,978,"['PHIL']","This course surveys the influential philosophical traditions of India and China. Students explore the major traditions including Hinduism, Buddhism, Jainism, Confucianism and Taoism and consider other traditions with which they have interacted. Where appropriate, comparisons are drawn to Western philosophical traditions. Offered most years.","['MCG']",NA,"['Deepanwita Dasgupta']",200,"['HH 515']","Asian Philosophy","Closed to first-year students during web registration. Open to first-years on space available basis during drop/add period.",251,"False","False","",2,"O",20092,"['M-F 0100-0300PM']","","Research",2009,12
"311",71581,1,1289,"['SOAN']","This course helps students explore the connections between society and their own lives. Students answer challenging questions such as ""Do we have a 'human nature'?,"" ""Why does social inequality exist?,"" ""What is race?,"" and ""How do societies change?"" In answering these questions students learn to develop a sociological imagination. In doing so they review the various research methods and theories that form the sociological tradition. This course is primarily open to first year students or students in certain accredited programs. Open to first-year students only. Open to all students when taught during the summer. Offered each semester.","['HBS', 'MCD']",NA,"['Ibtesam Al Atiyat']",100,"['RML 577']","Intro to Sociology","Open to First-Year Students only.",121,"False","False","",2,"C",20092,"['M-F 0100-0300PM']","Introduction to Sociology","Research",2009,26
"317",71755,1,22441,"['MUSIC']","Students experience the diverse musics of South Asia through the performance of Hindustani music, the classical music of North India and Pakistan. Topics will include bhajan, film music, various regional musics and qawwali, South Indian music, and changes in music institutions in the 20th century. No past musical training is required for this class, but all participants are expected to practice and perform together.","['ALS-A', 'MCG']",NA,"['Matthew Rahaim']",200,"['CHM 224', 'CHM 224']","Indian Music Hist/Perf","Open to First-Year Students.",234,"False","False","",2,"C",20092,"['MTThF 1045-1200PM', 'MTThF 0100-0215PM']","Indian Music History and Performance","Research",2009,25
"321",71759,1,22448,"['SWRK']","This course introduces students to the study of racism and sexism from a variety of disciplinary perspectives with special attention to the impact on women and on African-American and Latino families. Students examine the processes by which race and gender are socially constructed to benefit some and disadvantage others. Students consider how prejudice develops and learn strategies to communicate with people of diverse backgrounds.","['MCD']",NA,"['Laura E. McKibbin']",100,"['RML 420', 'RML 420']","Racism/Sexism/Am Fam Life","Open to First-Year Students and Sophomores only.",125,"False","False","",2,"O",20092,"['TThF 0800-1000', 'TTh 1040-1240PM']","Racism and Sexism in American Family Life","Research",2009,13
