"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"3",66788,1,747,"['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings, and fields. Prerequisite: Mathematics 220. Offered each semester.","['WRI']",NA,"",NA,"['Mike Weimerskirch']",200,"['SC 186']","Abstract Algebra I","",252,"False","Prerequisite: Mathematics 220. Offered each semester.","A",1,"C",20091,"['MWF 1045-1140']","","Research",2009,16
"4",66789,1,747,"['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings, and fields. Prerequisite: Mathematics 220. Offered each semester.","['WRI']",NA,"",NA,"['Kristina Garrett']",200,"['RNS 206']","Abstract Algebra I","",252,"False","Prerequisite: Mathematics 220. Offered each semester.","B",1,"C",20091,"['MWF 1150-1245PM']","","Research",2009,15
"5",66790,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20091,"","Internship","Research",2009,0
"6",66791,1,14,"['AMST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20091,"","Internship","Research",2009,0
"7",66792,1,68,"['ART']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"O",20091,"","","Research",2009,0
"8",66793,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"O",20091,"","","Research",2009,0
"10",66795,1,174,"['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20091,"","Internship","Research",2009,0
"11",66796,1,204,"['CHEM']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20091,"","Internship","Research",2009,0
"12",66797,1,222,"['CHEM']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20091,"","Internship","Research",2009,0
"13",66798,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20091,"","","Research",2009,0
"14",66799,1,235,"['CLASS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20091,"","","Research",2009,0
"15",66800,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",1,"C",20091,"","","Research",2009,0
"16",66801,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20091,"","","Research",2009,0
"17",66802,1,276,"['ECON']","","",NA,"",NA,"['Paul Wojick']",200,"","Academic Internship","",294,"True","False","",1,"C",20091,"","","Research",2009,1
"18",66803,1,284,"['ECON']","Academic Internship.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",1,"C",20091,"","","Research",2009,0
