"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"109",62280,1,1338,"['SPAN']","Students analyze patterns of continuity and change in Spain, Latin America, and/or the Hispanic U.S. Using readings from the press, academic sources, and governmental as well as non-governmental documents, students read, discuss, and write about issues at an advanced level of linguistic and analytical sophistication. The course includes study of at least one substantive literary work. Possible themes include love, family and marriage, or crossing borders and the challenges of migration. Taught in Spanish. Prerequisite: Spanish 250.","['ORC']",NA,"","['Maggie Broner']",200,"['OM 020']","Contemporary Issues","Open to all students who meet the requirements. This course has class-year limits.",274,"False","Prerequisite: Spanish 250.","",2,"C",20082,"['M-F 1040-0300PM']","Contemporary Issues in the Spanish-Speaking World","Research",2008,25
"112",62296,1,18485,"['SOAN']","This course explores the lives of gay, lesbian, bisexual, and transgender people from several social science perspectives. We'll look at whether gender and sexual orientation (both heterosexual and homosexual) are socially constructed or biologically natural, and what cross-cultural and historical examples can tell us. We'll look at controversies over the family and religious status of GLBT people, why homosexuality has become such a political issue, and movements for change. Offered during Interim.","['HBS']",NA,"","['Bruce Nordstrom-Loeb']",200,"['HH 317']","GLBT Lives and Issues","This course is open to first-year students. This course has class-year limits.",246,"False","False","",2,"C",20082,"['M-F 1040-1240PM']","","Research",2008,24
"116",62304,1,16366,"['PSYCH']","Students reflect on their own culture as they explore childhood and family life in China and Japan. Developmental and cross-cultural research, memoirs, works of fiction, and films are used to study parents' beliefs and childrearing practices as well as the development of the self, peer relationships, school achievement, and role changes during adulthood. With life expectancy increasing around the world, students also discover how China and Japan are responding to the graying of their populations. Prerequisites: Psychology 125 or Asian Studies 121. Offered during Interim.","['MCG']",NA,"","['Dana Gross']",200,"['RNS 208']","Human Dev/China and Japan","Open to all students who have fulfilled the prerequisite.",226,"False","Prerequisites: Psychology 125 or Asian Studies 121. Offered during Interim.","",2,"O",20082,"['M-F 1040-1240PM']","Human Development in East Asia: Perspectives from China and Japan","Research",2008,11
"121",62309,1,1329,"['SPAN']","Students explore geographic, economic, political, and ethnic dimensions of life in Costa Rica by combining intensive course work with such cross-cultural experiences as a homestay in San Jose, field work, visits to sites of cultural interest, and excursions to the Atlantic and Pacific coasts. They consolidate their language skills and continue to develop their skills for analyzing and communicating in Spanish through compositions, oral presentations, and interviews of Costa Ricans. Prerequisite: Spanish 231 or placement. Offered only during Interim.","['FOL-S', 'MCG']",NA,"","['Leon Narvaez']",200,"","Inter Span II-C Rica","Open to all students who meet the requirements. This is an off-campus course.",234,"False","Prerequisite: Spanish 231 or placement. Offered only during Interim.","",2,"C",20082,"","Intermediate Spanish II in Costa Rica","Research",2008,22
"123",62312,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: Spanish 112 or placement. Offered Fall, Interim, and Spring Semesters.","",NA,"","['Kris A. Cropsey']",200,"['OM 035', 'OM 031']","Intermed Spanish I","Open to all students who meet the requirements. This course has class-year limits.",231,"False","Prerequisite: Spanish 112 or placement. Offered Fall, Interim, and Spring Semesters.","",2,"C",20082,"['M-F 1040-1140', 'M-F 0100-0300PM']","Intermediate Spanish I","Research",2008,23
"224",62422,1,405,"['ENGL']","These courses treat specific periods in British literature and examine the relationship between literary texts and movements and their particular cultural, political, and historical contexts. Each offering of this course examines a different literary era and emphasizes specific literary and historical issues. Students may register for the course more than once provided a different era is studied. Prerequisite: FYW or equivalent.\nThe Middle Ages focuses upon Anglo-Saxon and Middle English literature, including the Beowulf poet, Chaucer, Julian of Norwich, and Malory, in the context of emerging ideas such as heroism, the role of women, and the relationship between secular society and the Church.\nThe Renaissance examines radical literary changes in English literature, as they occur in Spenser, Shakespeare, Lanyer, Donne, and Milton, in such contexts as the Protestant Reformation and strife over Puritanism, court politics under Elizabeth and James, and the English Civil War.\nThe Age of Enlightenment focuses upon neoclassical poetry and satire and the emergence of the novel. Writers such as Dryden, Behn, Swift, Pope, and Fielding are read in the context of political and social revolutions, the African slave trade, and the growth of modern capitalism.\nThe Romantic Period considers the outburst of literary creativity in such poets as Blake, Wordsworth, Coleridge, Byron, Shelley, and Keats and such prose writers as Wollstonecraft, Scott, Austen, and Mary Shelley, in the context of revolutionary politics, encounters with nature and the rise of industrialized, consumer capitalism.\nThe Victorian Period, a time of British political and cultural dominance, examines the work of such writers as Tennyson, Robert and Elizabeth Barrett Browning, Dickens, and the Brontës, in the context of scientific, industrial and colonial growth, religious skepticism, and challenges to class and gender inequalities.\nModern British Literature focuses on the literature reflecting modern turbulence, innovation, and alienation, as in Joyce, Lawrence, Woolf, and Eliot, in the context of World War, social and economic crises, and radical artistic experimentalism.","['ALS-L']",NA,"","['Jonathan Hill']",200,"['RML 515']","Literary Eras: Mod Br Nov","Open to all students who have completed FYW or equivalent.",230,"False","Prerequisite: FYW or equivalent.\nThe Middle Ages focuses upon Anglo-Saxon and Middle English literature, including the Beowulf poet, Chaucer, Julian of Norwich, and Malory, in the context of emerging ideas such as heroism, the role of women, and the relationship between secular society and the Church.\nThe Renaissance examines radical literary changes in English literature, as they occur in Spenser, Shakespeare, Lanyer, Donne, and Milton, in such contexts as the Protestant Reformation and strife over Puritanism, court politics under Elizabeth and James, and the English Civil War.\nThe Age of Enlightenment focuses upon neoclassical poetry and satire and the emergence of the novel. Writers such as Dryden, Behn, Swift, Pope, and Fielding are read in the context of political and social revolutions, the African slave trade, and the growth of modern capitalism.\nThe Romantic Period considers the outburst of literary creativity in such poets as Blake, Wordsworth, Coleridge, Byron, Shelley, and Keats and such prose writers as Wollstonecraft, Scott, Austen, and Mary Shelley, in the context of revolutionary politics, encounters with nature and the rise of industrialized, consumer capitalism.\nThe Victorian Period, a time of British political and cultural dominance, examines the work of such writers as Tennyson, Robert and Elizabeth Barrett Browning, Dickens, and the Brontës, in the context of scientific, industrial and colonial growth, religious skepticism, and challenges to class and gender inequalities.\nModern British Literature focuses on the literature reflecting modern turbulence, innovation, and alienation, as in Joyce, Lawrence, Woolf, and Eliot, in the context of World War, social and economic crises, and radical artistic experimentalism.","",2,"C",20082,"['M-F 1040-1240PM']","Literary Eras: British","Research",2008,38
"227",62430,1,338,"['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 schools. Kamehameha, in Honolulu, is an affluent, urban, private, Hawaiian cultural immersion school. The Kailua Kona schools, on the big island, are rural, public, mixed-race environments. Students discover the challenges and benefits associated with teaching in a diverse racial, cultural and socio-economic environments. Through guest lectures, readings, field trips and seminars, students learn about the truly unique geographic and cultural setting of the Hawaiian islands. This environment makes an excellent framework to examine diversity on the mainland. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. GE: Multicultural Studies Component (MCS-D).","['MCD']",NA,"","['Maria L. Kelly']",300,"","Multi-Cult Ed Hawaii","This is an off-campus course.",378,"True","False","",2,"C",20082,"","Multicultural Education in Hawaii: Seminar and Practicum","Research",2008,23
"249",62470,1,308,"['EDUC']","In this course, students will examine how schools and communities in the Twin Cities interact to provide support and developmental opportunities for school-age children. Through lectures, readings, discussions, field trips and in-school and co-curricular placements, students gain an understanding and awareness of how race, class, ethnicity, national origin, and gender shape the complex character of urban youth and schools. Students will spend one week in orientation activities on campus and two weeks in the Twin Cities. During the time in the Twin Cities, St. Olaf students will participate as tutors and classroom assistants during the school day and then assist in various after-school and community programs. The last week of Interim will be spent back on campus discussing the experience. Counts toward major: ARMS. Fulfills Education 382: Human Relations requirement. Counts toward concentration: ARMS. GE: Multicultural Studies Domestic (MCS-D, MSD). Open to first-year students.","['MCD']",NA,"","['Heather Campbell']",100,"","Schools & Communities","Open to First-Year Students and Sophomores only. Admission by interview.",170,"True","False","",2,"C",20082,"","Schools and Urban Communities","Research",2008,22
"258",62483,1,382,"['ENGL']","Students examine various heroic and trickster figures as manifested in post-colonial literature from Africa, Asia, and the Caribbean, both oral and written, and seek to understand what basic human needs and realities these figures express and fulfill.","['ALS-L', 'MCG']",NA,"","['Joseph L. Mbele']",100,"['RML 525']","Trickstr/Post-Col Lit","",108,"False","False","",2,"C",20082,"['M-F 0100-0300PM']","The Hero and the Trickster in Post-Colonial Literature","Research",2008,33
"259",62484,1,339,"['EDUC']","This program provides an opportunity for students to gain direct teaching experience by serving as an intern/paraprofessional for a teacher in a Minneapolis/St. Paul public school. The Interim will heighten students' sensitivities to the complexities of multicultural, urban education and provide exposure to models used to foster educational and personal success in diverse student populations. On/off-campus orientation will be followed by four weeks of full-time work in a classroom with a host teacher and participation in weekly seminars with the college instructor. Reading assignments, journals and guest speakers will complement the experience. Counts toward major: ARMS. Fulfills Education 382: Human Relations Requirement -- both cognitive and experiential component. GE: Multicultural Studies Component (MCS-D). Prerequisite: Education 290 or consent of instructor. Apply through Department of Education before Oct. 15.","['MCD']",NA,"","['Rosemary A. Pfarr-Baker']",300,"","Urban Sem & Practicum","Admission by interview.",379,"True","Prerequisite: Education 290 or consent of instructor. Apply through Department of Education before Oct. 15.","",2,"C",20082,"","Urban Education Practicum and Seminar","Research",2008,12
