"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"108",68486,1,618,"['HIST']","In this study of African Americans in U. S. society from African origins to the present, students explore the African heritage, the experience of slavery, segregation, and the rise of the Civil Rights movement of the 1960s. The course pays particular attention to the issue of black nationalism as a force in American life. Offered most years.","['HWC', 'MCD']",NA,NA,NA,"['Michael Fitzgerald']",200,"['RML 577', 'RML 577']","African-American Hist","",277,"False","False","",3,"O",20093,"['T 1145-0110PM', 'Th 1245-0205PM']","African-American History","Research",2009,17
"110",68491,1,1103,"['PSCI']","The promise of American politics is the equal freedom of all. How does practice match principles? What roles do class and race play? Do interest groups and political parties foster democracy? This course is designed not only to help students understand American government and politics but also to motivate them to be active and informed participants. Offered annually.","['HBS', 'MCD']",NA,NA,NA,"['Christopher Galdieri']",100,"['RML 525', 'RML 525']","American Politics","This course has class year limits.",111,"False","False","",3,"C",20093,"['T 0800-0925', 'Th 0800-0920']","","Research",2009,26
"121",68506,1,18781,"['ASIAN']","Having looked at how people journey through Asia, this final semester in Asian Conversations considers how ideas travel over time and space. Students examine a range of interpretations of Asia, including the spiritual, literary, philosophical and linguistic; and students present the ideas gathered from contacts made during Interim at the beginning of the semester. Additional materials include memoirs, novels, films that share individualized interpretations of Asian journeys. Prerequisite: Chinese 231 or Japanese 231 and Asian Studies 215. Offered annually in the Spring Semester.","['ALS-A', 'ALS-L', 'HBS', 'MCG', 'ORC', 'WRI']",NA,NA,NA,"['Luying Chen']",200,"['OM 002', 'OM 002']","AsiaCon3:InterpretJourney","Registration restricted to students in the Asian Con program.",220,"False","Prerequisite: Chinese 231 or Japanese 231 and Asian Studies 215. Offered annually in the Spring Semester.","",3,"C",20093,"['T 1145-0110PM', 'Th 1245-0205PM']","Asian Conversations III: Interpreting Journeys","Research",2009,22
"214",68674,1,371,"['DANCE']","Students trace and integrate the African-American and Euro-American dance traditions of the late 19th and 20th centuries and early 21st century, paying attention to their similarities and differences. The focus is on the theatrical dance genres of ballet, modern, and jazz (includes tap and some musical theatre dance). Students also examine social dance as the predecessor of some theatrical dance genres. At the same time, the course attends to the economic, religious, political, and social forces that have affected the development of dance in the United States. Extensive video examples supplement reading, live dance viewing, physical exploration, class lecture, writing, and discussion. Prerequisite: Dance 100. A ticket/transportation fee will be collected. Offered annually in the Spring Semester.","['ALS-A', 'MCD', 'WRI']",NA,NA,NA,"['Heather J. Klopchin']",200,"['DC 305']","Dance in America","Prerequisite: Completion of Dance 100.",246,"False","Prerequisite: Dance 100. A ticket/transportation fee will be collected. Offered annually in the Spring Semester.","",3,"C",20093,"['MWF 1255-0150PM']","Dance in the United States","Research",2009,13
"215",68675,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Prerequisite: American Conversations 101. Offerd annually in the Spring Semester.","['FYW', 'HWC']",NA,NA,NA,"['James Farrell']",100,"['RML 515']","Dem Vistas: 1800-1900","Open to American Conversations students only.",102,"False","Prerequisite: American Conversations 101. Offerd annually in the Spring Semester.","A",3,"C",20093,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2009,16
"216",68676,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts range from Transcendentalist writers, the Second Great Awakening, and Black Elk Speaks to landscape painting and Western photography. Prerequisite: American Conversations 101. Offerd annually in the Spring Semester.","['FYW', 'HWC']",NA,NA,NA,"['J. Susannah Shmurak']",100,"['RML 577']","Dem Vistas: 1800-1900","Open to American Conversations students only.",102,"False","Prerequisite: American Conversations 101. Offerd annually in the Spring Semester.","B",3,"C",20093,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2009,18
"241",68716,1,617,"['HIST']","By examining the interaction of people and environment on the North American continent from the 15th century to the present, this course shows how history ""takes place"" in ecological contexts that change over time. Students compare Native American and Euro-American religious beliefs, social values, economic aspirations, and technological developments and examine their consequences for the flora, fauna, and peoples of the continent. Offered most years.","['HWC']",NA,NA,NA,"['James Farrell']",200,"['HH 307']","Am. Environmental History","",275,"False","False","",3,"C",20093,"['MWF 0905-1000']","Environmental History","Research",2009,35
"246",68727,1,574,"['HIST']","This course surveys European history and culture since the Reformation. Topics include the impact of Protestantism, the development of nation states, the Enlightenment, revolutionary ideas and experiences, the Napoleonic era, imperialism, mass political movements, and global warfare. Through original texts, historical studies, and literature, students explore relations among religions, states and societies and understandings of liberty and reason, natural environments, family life, and gender roles. Offered most years.","['HWC']",NA,NA,NA,"['Anna Kuxhausen']",100,"['HH 501']","Eur/Reform/Modern","",191,"False","False","",3,"C",20093,"['MWF 0905-1000']","Europe from the Reformation to Modern Times","Research",2009,31
"285",68786,1,1311,"['SOAN']","This course compares gender patterns and issues in various cultures around the world, such as Latin America, the Middle East, India, the U.S., and East Asia. How do cultural expectations for women and men vary? Why do some societies have more gender equality than others? How do economic and political change, including globalization, impact gender roles? How do U.S. and Third World feminism compare? Offered annually in the Fall or Spring Semester.","['HBS', 'MCG']",NA,NA,NA,"['Bruce Nordstrom-Loeb']",200,"['HH 403']","Gender/C-Cult/Persp","",261,"False","False","A",3,"C",20093,"['MWF 1045-1140']","Gender in Cross-Cultural Perspective","Research",2009,26
"286",68788,1,19736,"['PSCI']","Students examine the geopolitics and political economy of Russia as an energy producing and consuming ""Petrostate."" Beginning with the domestic political economy of the Russian energy industries, students proceed to Russia's relations with Central Asia from which it imports gas and with Europe to which it exports oil and gas. The course also considers Russia's relationships with the U.S.A., India, and China. There is also special attention on Russian/Norwegian energy relations in the Barents Sea. Prerequisite: Political Science 220 or 282. Offered annually.","['WRI']",NA,NA,NA,"['J. Patrick Dale']",300,"['HH 516']","Geopolitics Eurasian Ener","This course counts as a 300-level seminar. Open only to Seniors and Juniors during web registration.",382,"False","Prerequisite: Political Science 220 or 282. Offered annually.","",3,"O",20093,"['MWF 0200-0255PM']","The Geopolitics of Eurasian Energy","Research",2009,13
