"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"104",78499,1,18780,"['ASIAN']","Students pursue guided fieldwork experience in the country whose language they study, either Japan or China. Activities and readings in this course build on the topics from Asian Studies 210 and three semesters of language study. Students continue to explore their understanding of Asia through ethnographic observation, interviews, and site visits. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Prerequisite: Asian Studies 210. Offered during Interim.","",NA,"['Rika Ito']",200,"","AsianCon2:Meet Sojourners","Registration restricted to students in the Asian Con program. This is an off-campus course.",215,"False","Prerequisite: Asian Studies 210. Offered during Interim.","",2,"C",20112,"","Asian Conversations II: Encountering Asia","Research",2011,28
"113",78546,1,21394,"['FREN']","Students study French language and Moroccan culture in the imperial city of Fes. An immersion experience that includes home stays with local French-speaking families, the course focuses on Moroccan culture yesterday and today, emphasizing the multicultural aspects of Morocco and facilitating student interaction with the local population. Field trips to various sites in and around Fes, day-long visits to Meknès and Moulay Idriss, and a longer excursion to Marrakech and Casablanca. Review of second-year French grammar is integrated into the reading and discussion of texts pertaining to Morocco's history and culture and their relation to present-day Morocco. Taught in French. Prerequisite: French 231 or placement in French 232. Offered during Interim. Open to first-year students.","['FOL-F', 'MCG']",NA,"['Amine R. Bekhechi']",200,"","Fr Lang/Moroccan Culture","Open to all students who meet the requirements. This is an off-campus course.",235,"False","Prerequisite: French 231 or placement in French 232. Offered during Interim. Open to first-year students.","",2,"C",20112,"","French Language and Moroccan Culture in Fes","Research",2011,12
"116",78562,1,18485,"['SOAN']","This course explores the lives of gay, lesbian, bisexual, and transgender people from several social science perspectives. Students examine whether gender and sexual orientation (both heterosexual and homosexual) are socially constructed or biologically natural, and what cross-cultural and historical examples can tell us. Students also study controversies over the family and religious status of GLBT people, why homosexuality has become such a political issue, and movements for change. Offered during Interim. Counts towards American studies major.","['HBS']",NA,"['Bruce Nordstrom-Loeb']",200,"['HH 413']","GLBT Lives and Issues","",246,"False","False","",2,"C",20112,"['M-F 1040-1240PM']","","Research",2011,29
"117",78566,1,22792,"['NURS']","This course explores health and culture in Oceania, examining sources of influence such as the colonial experience, regional and global interdependence, the impact of nuclear testing, and the co-existence of traditional and ""modern"" values. Students examine these cultures on Oahu Hawai'i, Kosrae, and Pohnpei in the Federated States of Micronesia (FSM), through ethnographic readings, guest lectures, field trips, and as participant observers at events. Offered annually during Interim.","['MCG']",NA,"['Neil MacNaughton']",200,"","Health/Culture/Oceania","This is an off-campus course.",221,"False","False","",2,"C",20112,"","Health and Culture in Oceania","Research",2011,18
"118",78570,1,824,"['MUSIC']","This course presents a study of the historical development of jazz, from its roots in blues and ragtime at the ""beginning"" of the 20th century to the present, focusing on its principal forms and styles, its role in American culture, and contributions of major artists. Offered during Interim. Counts towards American studies and ARMS majors and ARMS and Africa & the Americas concentrations.","['ALS-A', 'MCD']",NA,"['Gerald Hoekstra']",200,"['CHM 239']","History of Jazz","Open to all students.",231,"False","False","",2,"C",20112,"['M-F 0100-0300PM']","","Research",2011,34
"230",78719,1,338,"['EDUC']","Students examine the influence of race, class and multiculturalism in American schools by participating as teachers' assistants and tutors in two distinctly different K-12 schools. Kamehameha, in Honolulu, is an affluent, urban, private, Hawaiian cultural immersion school. The Kailua Kona schools, on the big island, are rural, public, mixed-race environments. Students discover the challenges and benefits associated with teaching in a diverse racial, cultural and socio-economic environments. Through guest lectures, readings, field trips and seminars, students learn about the truly unique geographic and cultural setting of the Hawaiian islands. This environment makes an excellent framework to examine diversity on the mainland. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. Prerequisite: Education 330 or Education 260, consent of instructor. Offered during Interim. Counts towards ARMS and American studies majors and ARMS concentration.","['MCD']",NA,"['Heather Campbell']",300,"","Multi-Cult Ed Hawaii","This is an off-campus course. Admission by interview.",378,"True","Prerequisite: Education 330 or Education 260, consent of instructor. Offered during Interim. Counts towards ARMS and American studies majors and ARMS concentration.","",2,"X",20112,"","Multicultural Education in Hawaii: Seminar and Practicum","Research",2011,0
"233",78726,1,18523,"['ASIAN', 'PSCI']","Currents of nationalism, regionalism and globalization organize political life around the world. What trends and policies promote regional integration? What forces frustrate integration? To answer these questions this course investigates security, economic, and cultural relations at the beginning of the 21st century within Asia and between Asia and Russia and the U.S. This course looks at the historical interaction of national, regional and global forces for additional answers. Prerequisite: previous course in Asian studies or political science, or permission of instructor.","['HBS', 'MCG']",NA,"['Katherine S. Tegtmeyer Pak']",200,"['HH 403']","Nation/Region/Globe/Asia","",245,"False","Prerequisite: previous course in Asian studies or political science, or permission of instructor.","",2,"O",20112,"['M-F 1040-1240PM']","Nationalism, Regionalism, Globalization in Asia","Research",2011,15
"243",78749,1,19831,"['PSCI']","The course is based on the Adriatic Coast of Slovenia with travel to Italy, Croatia and Bosnia to students study processes of political identity formation in a part of Europe that has seen the collapse of multi-ethnic empires and the multi-ethnic state of Yugoslavia. Students work in groups representing the concepts used by Charles Tilly to analyze political identity. In group reports, students will construct analytical images of political identities in Piran, Triest, Vukovar, Belgrade, Sarajevo and Mostar.","['HBS', 'MCG']",NA,"['J. Patrick Dale']",200,"","Polit Identity Cent Euro","This is an off-campus course.",240,"False","False","",2,"C",20112,"","Changing Political Identities in Coastal Central Europe","Research",2011,21
"253",78767,1,308,"['EDUC']","In this course, students examine how schools and communities in the Twin Cities interact to provide support and developmental opportunities for school-age children. Through lectures, readings, discussions, field trips, and in-school and co-curricular placements, students gain an understanding and awareness of how race, class, ethnicity, national origin, and gender shape the complex character of urban youth and schools. Students spend one week in orientation activities on campus and two weeks in the Twin Cities. During the time in the Twin Cities, St. Olaf students participate as tutors and classroom assistants during the school day and then assist in various after-school and community programs. The last week of Interim is spent back on campus discussing the experience. Counts toward major: ARMS. Counts toward concentration: ARMS. Fulfills Education 382: Human Relations requirement. Open to first-year students. Offered during Interim. Counts towards ARMS and American studies majors and ARMS concentration.","['MCD']",NA,"['Eric McDonald']",100,"['BC 143', 'BC 143']","Schools & Communities","Open to First-Year Students and Sophomores only. Admission by interview.",170,"True","False","",2,"C",20112,"['M-F 0800-1000', 'M-F 1040-1240PM']","Urban Schools & Communities","Research",2011,20
"264",78802,1,339,"['EDUC']","This program provides an opportunity for students to gain direct teaching experience by serving as an intern/paraprofessional for a teacher in a Minneapolis/St. Paul public school. The Interim will heighten students' sensitivities to the complexities of multicultural, urban education and provide exposure to models used to foster educational and personal success in diverse student populations. On/off-campus orientation will be followed by four weeks of full-time work in a classroom with a host teacher and participation in weekly seminars with the college instructor. Reading assignments, journals, and guest speakers will complement the experience. Counts toward major: ARMS. Fulfills Education 382: Human Relations Requirement. Prerequisite: Education 290 or consent of instructor. Apply through Education Department by Oct. 15. Offered during Interim. Counts towards ARMS major and concentration and American studies major.","['MCD']",NA,"['Rosemary A. Pfarr-Baker']",300,"","Urban Sem & Practicum","Admission by interview.",379,"True","Prerequisite: Education 290 or consent of instructor. Apply through Education Department by Oct. 15. Offered during Interim. Counts towards ARMS major and concentration and American studies major.","A",2,"C",20112,"","Urban Education Practicum and Seminar","Research",2011,19
