"","clbid","credits","crsid","departments","gereqs","instructors","level","locations","name","number","pn","prerequisites","section","semester","status","term","times","type","year","enrolled"
"1",6401,1,12,"['AMST']","","['James Farrell']",200,"","IS/Sustain/Community",298,"False","False","",2,"O",20032,"","Research",2003,1
"2",6402,1,12,"['AMST']","","['James Farrell']",200,"","IS/WTO/Globalization",298,"False","False","A",2,"O",20032,"","Research",2003,1
"3",6403,1,28,"['ART']","","['Mollie Rabiner']",100,"['DC 106', 'DC 106', 'DC 106']","Foundation Sculpture",122,"False","False","",2,"C",20032,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",2003,19
"4",6404,1,44,"['ART']","","['Kristen Lowe']",200,"['DC 216', 'DC 216', 'DC 216']","Advanced Drawing",233,"False","False","",2,"O",20032,"['M-F 0900-1000', 'M-F 1040-1210PM', 'M-F 0100-0300PM']","Research",2003,8
"5",6405,1,48,"['ART']","","['John Saurer']",200,"","Manhattan Art Interim",246,"False","False","",2,"C",20032,"","Research",2003,17
"6",6406,1,52,"['ART']","","['Matthew Rohn']",200,"['DC 305']","Art Since 1950",253,"False","False","",2,"C",20032,"['M-F 0100-0300PM']","Research",2003,35
"7",6407,1,54,"['ART']","","['Nancy M. Thompson']",200,"","Ital Art in Context",255,"False","False","",2,"C",20032,"","Research",2003,20
"8",6408,1,68,"['ART']","","['Wendell Arneson']",200,"","Academic Internship",294,"True","False","",2,"O",20032,"","Research",2003,1
"9",6409,1,68,"['ART']","","['Heather M. Brooks-Shirey']",200,"","Academic Internship",294,"True","False","A",2,"O",20032,"","Research",2003,1
"10",6410,1,69,"['ART']","","['Ron Gallas']",200,"","IS/Ceramics Hand",298,"False","False","",2,"O",20032,"","Research",2003,1
"11",6411,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Adv Painting",298,"False","False","A",2,"O",20032,"","Research",2003,1
"12",6412,1,69,"['ART']","","['Wendell Arneson']",200,"","IS/Pre-Sr Studies",298,"False","False","B",2,"O",20032,"","Research",2003,1
"13",6413,1,75,"['ART']","","['Wendell Arneson']",300,"","IR/Drawing-Vis Poetry",398,"False","False","",2,"O",20032,"","Research",2003,1
"14",6414,1,75,"['ART']","","['Wendell Arneson']",300,"","IR/Adv Drawing II",398,"False","False","A",2,"O",20032,"","Research",2003,1
"15",6415,1,75,"['ART']","","['Margaret Ojala']",300,"","IR/Photography India",398,"False","False","B",2,"O",20032,"","Research",2003,1
"16",6416,1,79,"['ASIAN']","","['Phyllis Hyland Larson']",100,"['HH 501', 'HH 501']","Intro Japnese Film-Tr",124,"False","False","",2,"O",20032,"['M-Th 1040-1240PM', 'M-Th 0100-0300PM']","Research",2003,28
"17",6417,1,81,"['ASIAN']","","['Shannon Cannella']",100,"['OM 002', 'OM 002']","Cont Chinese Women Wr",151,"False","False","",2,"O",20032,"['M-Th 1040-1240PM', 'M-Th 0200-0300PM']","Research",2003,8
"18",6418,1,85,"['ASIAN']","","['Pin Pin Wan']",200,"","Nat ID/China & Japan",212,"False","False","",2,"C",20032,"","Research",2003,21
"19",6419,1,90,"['ASIAN']","","['Katherine S. Tegtmeyer Pak']",200,"['OM 015']","Intl Politics Ne Asia",245,"False","False","",2,"O",20032,"['M-F 0100-0300PM']","Research",2003,6
"20",6420,1,94,"['ASIAN']","","['Pin Pin Wan']",200,"","IS/China's Education",298,"False","False","",2,"O",20032,"","Research",2003,1
"21",6421,1,94,"['ASIAN']","","['Barbara Reed']",200,"","IS/Cao-Dai Religion",298,"False","False","A",2,"O",20032,"","Research",2003,1
"59",6459,1,225,"['CLASS']","","['Anne Groton']",100,"['OM 031']","Ancient Comedy-Tr",126,"False","False","",2,"C",20032,"['M-F 1040-1240PM']","Research",2003,32
"60",6460,1,235,"['CLASS']","","['Steve T. Reece']",300,"","Academic Internship",394,"True","False","",2,"O",20032,"","Research",2003,1
"61",6461,1,236,"['CLASS']","","['Jon Bruss']",300,"","IR/Advanced Nt Greek",398,"False","False","",2,"O",20032,"","Research",2003,1
"62",6462,1,236,"['CLASS']","","['Christopher M. Brunelle']",300,"","IR/Anc Grk Vocal Tone",398,"False","False","A",2,"O",20032,"","Research",2003,1
"63",6463,1,256,"['ECON']","","['Robert Will']",100,"['HH 317']","Capitalism: Econ Hist",113,"False","False","",2,"C",20032,"['M-F 1040-1240PM']","Research",2003,29
"64",6464,1,261,"['ECON']","","['Xun Pomponio']",200,"","Econ Progress China",218,"False","False","",2,"C",20032,"","Research",2003,18
"65",6465,1,273,"['ECON']","","['William L. Carlson']",200,"","Britain in Transition",253,"False","False","",2,"C",20032,"","Research",2003,20
"66",6466,1,276,"['ECON']","","['Mary Ann Emery']",200,"","Academic Internship",294,"True","False","",2,"O",20032,"","Research",2003,1
"67",6467,1,276,"['ECON']","","['Paul Wojick']",200,"","Academic Internship",294,"True","False","A",2,"O",20032,"","Research",2003,1
"68",6468,1,277,"['ECON']","","['Paul Wojick']",200,"","IS/Chinese Revolution",298,"False","False","",2,"O",20032,"","Research",2003,1
"69",6469,1,277,"['ECON']","","['Paul Wojick']",200,"","IS/My Business Eval",298,"False","False","A",2,"O",20032,"","Research",2003,1
"70",6470,1,277,"['ECON']","","['Paul Wojick']",200,"","IS/Econ of Sports",298,"False","False","B",2,"O",20032,"","Research",2003,1
"71",6471,1,285,"['ECON']","","['Anthony Becker']",300,"","IR/Econ Impact Study",398,"False","False","",2,"O",20032,"","Research",2003,1
"72",6472,1,285,"['ECON']","","['Rebecca Judge']",300,"","IR/Environ Econ: China",398,"False","False","A",2,"O",20032,"","Research",2003,1
"74",6474,1,308,"['EDUC']","","['Maria L. Kelly']",100,"","Schools & Communities",170,"True","False","",2,"C",20032,"","Research",2003,17
"75",6475,1,310,"['EDUC']","","['Myron L. Solid']",200,"","Perspectives On Tchg",260,"True","False","",2,"C",20032,"","Research",2003,13
"76",6476,1,313,"['EDUC']","","['John Welckle']",200,"","Academic Internship",294,"True","False","",2,"O",20032,"","Research",2003,1
"77",6477,1,314,"['EDUC']","","['Maria L. Kelly']",200,"","IS/Education in Uk",298,"False","False","",2,"O",20032,"","Research",2003,1
"78",6478,1,338,"['EDUC']","","['Mark Schelske']",300,"","Multi-Cult Ed Hawaii",378,"True","False","",2,"C",20032,"","Research",2003,25
"79",6479,1,339,"['EDUC']","","['Rosemary A. Pfarr-Baker']",300,"","Urban Ed Practicum",379,"True","False","",2,"C",20032,"","Research",2003,34
"82",6482,1,387,"['ENGL']","","['Karen E. Marsalek']",100,"['RML 421']","Reading for Life",132,"False","False","",2,"C",20032,"['M-F 1040-1240PM']","Research",2003,22
"83",6483,1,390,"['ENGL']","","['Jon Eric Nelson']",100,"['RML 515']","Detective Fiction",169,"False","False","",2,"C",20032,"['M-F 1040-1240PM']","Research",2003,25
"84",6484,1,396,"['ENGL']","","['Mary Steen']",200,"['RML 525']","Fiction Down Under",215,"False","False","",2,"C",20032,"['M-F 1040-1240PM']","Research",2003,27
"85",6485,1,414,"['ENGL']","","['Richard DuRocher']",200,"","Modern IRish Lit",252,"False","False","",2,"C",20032,"","Research",2003,24
"86",6486,1,418,"['ENGL']","","['Eliot K. Wilson']",200,"['RML 520']","Creative Writing I",257,"False","False","",2,"C",20032,"['M-F 0100-0300PM']","Research",2003,20
"87",6487,1,419,"['ENGL']","","['Richard Buckstead']",200,"","Hemingway in Cuba",259,"False","False","",2,"C",20032,"","Research",2003,30
"88",6488,1,428,"['ENGL']","","['Joan Hepburn']",200,"['RML 420']","Studies in Drama",282,"False","False","",2,"O",20032,"['M-F 1040-1240PM']","Research",2003,8
"89",6489,1,435,"['ENGL']","","['Mary E. Trull']",300,"['RML 525']","Top in Lit Eras: Brit",330,"False","False","",2,"O",20032,"['M-F 0100-0300PM']","Topic",2003,6
"90",6490,1,449,"['ENGL']","","['Karen E. Marsalek']",300,"","Academic Internship",394,"True","False","",2,"O",20032,"","Research",2003,1
"91",6491,1,451,"['ENGL']","","['Jon Eric Nelson']",300,"","IR/The Inklings",398,"False","False","",2,"O",20032,"","Research",2003,2
"92",6492,1,455,"['ENVST']","","['Eugene Bakko']",100,"['SC 129', 'SC 129', 'SC 129']","Intro: Enviro Studies",137,"False","False","",2,"O",20032,"['M-F 0800-1000', 'M-F 1040-1240PM', 'M-F 0100-0300PM']","Research",2003,11
"93",6493,1,464,"['ENVST']","","['Charles Jr. Umbanhowar']",200,"","Academic Internship",294,"True","False","",2,"O",20032,"","Research",2003,1
"94",6494,1,464,"['ENVST']","","['Jason D. Hill']",200,"","Academic Internship",294,"True","False","A",2,"O",20032,"","Research",2003,1
"95",6495,1,464,"['ENVST']","","['Sheryl D. Breen']",200,"","Academic Internship",294,"True","False","B",2,"O",20032,"","Research",2003,1
