"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"3",83779,1,11,"['AMST']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","Internship","Research",2012,0
"4",83780,1,68,"['ART']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
"5",83781,1,73,"['ART']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","","Research",2012,0
"6",83782,1,93,"['ASIAN']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
"7",83783,1,96,"['ASIAN']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","","Research",2012,0
"12",83788,1,233,"['CLASS']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
"13",83789,1,235,"['CLASS']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","","Research",2012,0
"14",83790,1,248,"['CHIN']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
"15",83791,1,251,"['CHIN']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","","Research",2012,0
"16",83792,1,276,"['ECON']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
"17",83793,1,284,"['ECON']","Academic Internship.","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","","Research",2012,0
"20",83796,1,313,"['EDUC']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
"21",83797,1,344,"['EDUC']","","",NA,"","['Maria L. Kelly']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","Internship","Research",2012,1
"22",83798,1,374,"['DANCE']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","Internship","Research",2012,0
"23",83799,1,377,"['DANCE']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","Internship","Research",2012,0
"24",83800,1,433,"['ENGL']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","Internship","Research",2012,0
"25",83801,1,449,"['ENGL']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","Internship","Research",2012,0
"26",83802,1,464,"['ENVST']","","",NA,"","['James Farrell']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","Internship","Research",2012,1
"27",83803,1,466,"['ENVST']","","",NA,"","['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20122,"","Internship","Research",2012,0
"28",83804,1,490,"['FREN']","","",NA,"","['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20122,"","","Research",2012,0
