"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"1",73305,1,190,"['CHEM']","This course covers the material of Chemistry 119, with an additional laboratory component. Laboratory work explores the characteristics and analysis of hazardous and beneficial materials. Counts towards environmental studies major and concentration; does not count toward Chemistry major. Offerd during interim.","['IST', 'SED']",190,"['Paul T. Jackson']",100,"['RNS 435']","A Matter of Environ","Students in Chemistry 124 must also register for lab Chemistry 124 L.",124,"False","False","",2,"O",20102,"['M-F 0800-1000']","A Matter of the Environment with Lab","Research",2010,21
"3",73307,1,11,"['AMST']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20102,"","Internship","Research",2010,0
"4",73308,1,68,"['ART']","","",NA,"['Wendell Arneson']",200,"","Academic Internship","",294,"True","False","",2,"C",20102,"","","Research",2010,1
"5",73309,1,73,"['ART']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20102,"","","Research",2010,0
"6",73310,1,93,"['ASIAN']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20102,"","","Research",2010,0
"7",73311,1,96,"['ASIAN']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20102,"","","Research",2010,0
"8",73312,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty supervisor, and complete an internship application. Internships do not count toward the biology major requirements.","",NA,"['Theodore Johnson']",200,"","Academic Internship","",294,"True","False","",2,"C",20102,"","Internship","Research",2010,3
"9",73313,1,174,"['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to complete a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty supervisor, and complete an internship form.","",NA,"['Diane K. Angell']",300,"","Academic Internship","",394,"True","False","",2,"C",20102,"","Internship","Research",2010,1
"10",73314,1,204,"['CHEM']","","",NA,"['Paul T. Jackson']",200,"","Academic Internship","",294,"True","False","",2,"C",20102,"","Internship","Research",2010,1
"11",73315,1,222,"['CHEM']","","",NA,"['Douglas J. Beussman']",300,"","Academic Internship","",394,"True","False","",2,"C",20102,"","Internship","Research",2010,2
"12",73316,1,233,"['CLASS']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20102,"","","Research",2010,0
"13",73317,1,235,"['CLASS']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20102,"","","Research",2010,0
