"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"110",95111,1,18780,"['ASIAN']","Students pursue guided fieldwork experience in the country whose language they study, either Japan or China. Activities and readings in this course build on the topics from ASIAN 210 and three semesters of language study. Students continue to explore their understanding of Asia through ethnographic observation, interviews, and site visits. Students develop projects and follow a process of inquiry that will help them understand how ordinary people construct ""Asian"" culture and society today. Prerequisite: ASIAN 210. Offered during Interim.","",NA,"","['Karil J. Kucera', 'Kristina MacPherson']",200,"","AsianCon2: Encounter Asia","Registration restricted to students in the Asian Con program. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",215,"False","Prerequisite: ASIAN 210. Offered during Interim.","",2,"C",20142,"","Asian Conversations II: Encountering Asia","Research",2014,35
"115",95135,1,1222,"['ASIAN', 'REL']","This course studies the Buddhist view of the human predicament and its solution. Students examine the life of the Buddha, Buddhist scriptures, and the historical and philosophical development of Theravada and Mahayana Buddhism in East and Southeast Asia.","['MCG']",NA,"","['Barbara Reed']",200,"['TOH 308']","Buddhism","Not open to first-year students.",257,"False","False","",2,"C",20142,"['M-F 0100-0300PM']","","Research",2014,27
"123",95161,1,21394,"['FREN']","Students study French language and Moroccan culture in the imperial city of Fes. An immersion experience that includes home stays with local French-speaking families, the course focuses on Moroccan culture past and present, emphasizing the multicultural aspects of Morocco and facilitating student interaction with the local population. Field trips to various sites in and around Fes, day-long visits to Meknès and Moulay Idriss, and a longer excursion to Marrakech and Casablanca. Review of second-year French grammar is integrated into the reading and discussion of texts pertaining to Morocco's history and culture and their relation to present-day Morocco. Taught in French. Prerequisite: FREN 231 or placement in FREN 232. Offered during Interim. Open to first-year students.","['FOL-F', 'MCG']",NA,"","['Wendy Allen']",200,"","Fr Lang/Moroccan Culture","Open to all students who meet the prerequiistes. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",235,"False","Prerequisite: FREN 231 or placement in FREN 232. Offered during Interim. Open to first-year students.","",2,"C",20142,"","French Language and Moroccan Culture in Fes","Research",2014,14
"133",95191,1,1329,"['SPAN']","Students explore geographic, economic, political, and ethnic dimensions of life in Costa Rica by combining intensive course work with such cross-cultural experiences as a homestay in San Jose, field work, visits to sites of cultural interest, and excursions to the Atlantic and Pacific coasts. They consolidate their language skills and continue to develop their skills for analyzing and communicating in Spanish through compositions, oral presentations, and interviews of Costa Ricans. Prerequisite: SPAN 231 or placement. Not open to students who have completed SPAN 232.","['FOL-S', 'MCG']",NA,"","['Kristina Medina-Vilarino']",200,"","Inter Span II-C Rica","Open to all students who meet the prerequisites. This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",234,"False","Prerequisite: SPAN 231 or placement. Not open to students who have completed SPAN 232.","",2,"C",20142,"","Intermediate Spanish II in Costa Rica","Research",2014,20
"136",95194,1,1326,"['SPAN']","Through exploring the geographic and human diversity of the Spanish-speaking world, students develop increasingly complex skills for analyzing and communicating in Spanish. They study such essential dimensions of that world as: (1) geography and development; (2) environmental challenges and solutions; (3) population and demographic changes and challenges; and (4) ethnic diversity. Prerequisite: SPAN 112 or placement. Offered each semester and during Interim.","",NA,"","['Gwendolyn Barnes-Karol']",200,"['TOH 114', 'TOH 114']","Intermed Spanish I","Open to all students who meet the prerequisites. Prerequisite: completion of Spanish placement test or preceding course. This course has class-year limits.",231,"False","Prerequisite: SPAN 112 or placement. Offered each semester and during Interim.","",2,"C",20142,"['M-F 1040-1140', 'M-F 0100-0300PM']","Intermediate Spanish I","Research",2014,21
"279",95402,1,24283,"['PSCI']","This class aims to better understand the racial climate in the United States, and the implications for American politics. Differing analytical perspectives from political science are used to interpret the role of race. A central question is the degree to which ""post-racial"" is an appropriate description of the current era. Counts toward political science major.","['HBS', 'MCD']",NA,"","['Joshua Anderson']",200,"['TOH 312']","Race and Politics","Open to first-year students. This course has class year limits.",244,"False","False","",2,"C",20142,"['M-F 1040-1240PM']","Race and American Politics","Research",2014,28
"280",95403,1,27679,"['PHIL']","This course analyzes issues concerning race and social justice from the perspective of normative ethical frameworks and various theories of value. Students investigate, interpret, and critique both intellectual foundations and reasons for endorsement of the various approaches to studying race and social justice. Students pay critical attention to how the black intellectual tradition understands the meanings and moral implications of such ideas. Prerequisite: BTS-T or permission of instructor. Offered occasionally during Interim. Counts toward race and ethnic studies concentration.","['EIN']",NA,"","['Kathryn R. Swanson']",200,"['HH 403']","Race and Social Justice","Prerequisite: Completion of BTS-T or permission of the instructor. Open to seniors and juniors during web registration.",255,"False","Prerequisite: BTS-T or permission of instructor. Offered occasionally during Interim. Counts toward race and ethnic studies concentration.","",2,"C",20142,"['M-F 0800-1000']","","Research",2014,27
"298",95453,1,26499,"['ENGL']","This course investigates how literature--broadly writ--represents both gender diversity and conformity, and the issues associated with gender, such as family, power dynamics, oppression, activism, domesticity, hierarchies, and inequalities. The texts focus on a diversity of gendered identities by complicating the gender binary of ""man"" and ""woman."" A consideration of gender separated from other identities is limiting; therefore, this course examines how gender intersects with race, class, ability, sexual orientation, technology, religion, and/or nationality. May be repeated if topics are different. Prerequisite: FYW. Offered periodically. Click on course title in the class and lab for more information about the course for that term.","['ALS-L', 'WRI']",NA,"","['Rebecca S. Richards']",200,"['RML 525']","Topics: Gender and Lit","Not open to first-year students. This course has class-year limits.",264,"False","Prerequisite: FYW. Offered periodically. Click on course title in the class and lab for more information about the course for that term.","",2,"C",20142,"['M-F 0100-0300PM']","Topics in Gender and Literature","Topic",2014,18
"300",95459,1,339,"['EDUC']","This program provides an opportunity for students to gain direct teaching experience by serving as an intern/paraprofessional for a teacher in a Minneapolis/St. Paul public school. The Interim will heighten students' sensitivities to the complexities of multicultural, urban education and provide exposure to models used to foster educational and personal success in diverse student populations. On/off-campus orientation will be followed by four weeks of full-time work in a classroom with a host teacher and participation in weekly seminars with the college instructor. Reading assignments, journals, and guest speakers will complement the experience. Fulfills EDUC 382 : Human Relations requirement. Prerequisites: EDUC 260 and EDUC 290 or EDUC 330 or permission of instructor. Apply through Education Department by Oct. 15. Offered during Interim. Counts toward race and ethnic studies major and concentration and American studies major.","['MCD']",NA,"","['Rosemary A. Pfarr-Baker']",300,"","Urban Sem & Practicum","Admission by application.",379,"True","Prerequisites: EDUC 260 and EDUC 290 or EDUC 330 or permission of instructor. Apply through Education Department by Oct. 15. Offered during Interim. Counts toward race and ethnic studies major and concentration and American studies major.","",2,"C",20142,"","Urban Education Practicum and Seminar","Research",2014,26
"303",96976,1,22791,"['ASIAN', 'HIST']","This course examines ethnicity and the development of national identity in China through the evolution of the Qing empire into a modern nation state, the development of Chinese national identity in modern times, and the relationship between majority culture and minority ethnicities. Students examine the Han, Manchus, Tibetan, and Hmong/Miao as case studies, including comparisons with Hmong in the United States. Offered every two or three years during Interim.","['MCG']",NA,"","['Robert Entenmann']",200,"","Nat'l ID/Ethnicity/China","This is an off-campus course. You will find this course listed in Studio Abroad under its course title.",262,"False","False","",2,"C",20142,"","National Identity and Ethnicity in China","Research",2014,11
