"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"112",57626,1,618,"['HIST']","In this study of African Americans in U. S. society from African origins to the present, students explore the African heritage, the experience of slavery, segregation, and the rise of the Civil Rights movement of the 1960s. The course pays particular attention to the issue of black nationalism as a force in American life. Offered most years.","",NA,"",NA,"['Michael Fitzgerald']",200,"['RML 577', 'RML 577']","African-American Hist","",277,"False","False","",3,"O",20073,"['T 0935-1100', 'Th 0930-1050']","African-American History","Research",2007,31
"127",57644,1,78,"['ASIAN']","This course examines major cultures of Asia from interdisciplinary and comparative perspectives with attention to theories of human behavior. Themes vary from year to year but may include Asian cities, heroic ideals, village and family life, population growth, gender roles, and medicine and healing traditions. No prerequisites.","",NA,"",NA,"['Karil J. Kucera']",100,"['DC 305']","Asian Cultures","",121,"False","False","",3,"C",20073,"['MWF 1150-1245PM']","Asian Cultures in Comparative Perspectives","Research",2007,33
"187",57731,1,1234,"['REL']","Students examine contemporary Buddhist moral teachings on social issues such as violence and peacemaking, human rights and social justice and humanity and the environment. Coursework focuses on the writings of Vietnamese monk and peace activist Thich Nhat Hanh, Tibetan leader-in-exile Tenzin Gyatso (Fourteenth Dalai Lama), American ecologist Joanna Macy and others. Students consider the moral paradigms of Christianity and Buddhism: Christ and the Bodhisattva. Prerequisite: completion of BTS-T.","",NA,"",NA,"['Barbara Reed']",200,"['BMC 101']","Buddhism,Peace,Justice","Prerequisite: Completion of BTS-T requirement. Open to Seniors only during Phase I web registration.",289,"False","Prerequisite: completion of BTS-T.","A",3,"C",20073,"['MWF 1045-1140']","Buddhism, Peace and Justice","Research",2007,19
"188",57732,1,1234,"['REL']","Students examine contemporary Buddhist moral teachings on social issues such as violence and peacemaking, human rights and social justice and humanity and the environment. Coursework focuses on the writings of Vietnamese monk and peace activist Thich Nhat Hanh, Tibetan leader-in-exile Tenzin Gyatso (Fourteenth Dalai Lama), American ecologist Joanna Macy and others. Students consider the moral paradigms of Christianity and Buddhism: Christ and the Bodhisattva. Prerequisite: completion of BTS-T.","",NA,"",NA,"['Barbara Reed']",200,"['BMC 101']","Buddhism,Peace,Justice","Prerequisite: Completion of BTS-T requirement. Open to Seniors only during Phase I web registration.",289,"False","Prerequisite: completion of BTS-T.","B",3,"C",20073,"['MWF 1255-0150PM']","Buddhism, Peace and Justice","Research",2007,19
"214",57759,1,406,"['ENGL']","Students read and discuss children's literature from a variety of cultures and time periods. Beginning with world folklore and children's classics as background, students explore an array of picture books, poetry, fiction, and nonfiction that exemplifies the best in fantasy, science fiction, and realism for children and young adults. Special emphasis is given to two relatively new subgenres: multicultural literature and the contemporary problem novel. Prerequisite: FYW or equivalent.","",NA,"",NA,"['Jan C. Hill']",200,"['RML 525']","Children's Literature","",233,"False","Prerequisite: FYW or equivalent.","",3,"C",20073,"['Th 0700-1000PM']","Children's and Young Adult Literature","Research",2007,29
"217",57770,1,1181,"['PSYCH']","This course examines several major theoretical perspectives on psychotherapy. Students review empirically supported treatments for specific clinical disorders, as well as ""nonspecific"" factors that affect the therapeutic process. Students explore ethical and legal challenges related to psychotherapy delivery, as well as multicultural and other diversity issues. Course format is primarily discussion-based. This course is only open to juniors and seniors and is offered most years. Prerequisites: Psychology 231, and 264 or 271.","",NA,"",NA,"['Molly M. Kodl']",300,"['HH 317']","Clinical/Counseling Psych","Open to Juniors and Seniors only.",375,"False","Prerequisites: Psychology 231, and 264 or 271.","",3,"C",20073,"['W 0700-1000PM']","Clinical/Counseling Psychology","Research",2007,27
"236",57796,1,371,"['DANCE']","Students trace and integrate the African-American and Euro-American dance traditions of the late 19th and 20th centuries and early 21st century, paying attention to their similarities and differences. The focus is on the theatrical dance genres of ballet, modern, and musical theater dance. Students also examine social dance as the predecessor of some theatrical dance genres. At the same time, the course attends to the economic, religious and social forces which have affected the development of dance in America. Extensive video examples supplement reading, writing and discussion. Attendance at appropriate concerts is required. Offered Spring Semester.","",NA,"",NA,"['Mary Kay Conway']",200,"['DC 305']","Dance in America","",246,"False","False","",3,"C",20073,"['MWF 1255-0150PM']","","Research",2007,33
"237",57797,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts include Transcendentalist writers, the Second Great Awakening, Black Elk Speaks, landscape painting, and Western photography.","",NA,"",NA,"['Steven C. Hahn']",100,"['RML 515']","Dem Vistas: 1800-1900","",102,"False","False","A",3,"C",20073,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2007,21
"238",57798,1,177,"['AMCON']","In this century of institutional development, national expansion, and sectional conflict, Americans continued to define a national identity. Students probe the ways in which region, religion, race, ethnicity, and gender inform individual and group contributions to the conversation. They also analyze how geographical expansion and ideas of progress influenced different visions and versions of America. Topics and texts include Transcendentalist writers, the Second Great Awakening, Black Elk Speaks, landscape painting, and Western photography.","",NA,"",NA,"['Colin Wells']",100,"['RML 420']","Dem Vistas: 1800-1900","",102,"False","False","B",3,"C",20073,"['MWF 1255-0150PM']","Democratic Vistas, 1800-1900","Research",2007,18
"273",57846,1,979,"['PHIL']","This course examines the main Western ethical theories and their application to contemporary moral concerns. Theoretical issues may include rights, duties, virtue, hedonism, egoism, the relation between ethics and theology, the fact-value distinction, relativism, and pluralism. Students discuss current topics such as global economic justice, euthanasia and the death penalty, animal rights, censorship, racism, privacy rights versus public safety, reproductive ethics, and environmental ethics. Prerequisite: completion of BTS-T. Offered every year.","",NA,"",NA,"['Anthony J. Rudd']",200,"['OM 031', 'OM 031']","Ethics/The Good Life","Prerequisite: Completion of BTS-T requirement. Open to Seniors only during Phase I web registration.",252,"False","Prerequisite: completion of BTS-T. Offered every year.","",3,"C",20073,"['T 1145-0110PM', 'Th 1245-0205PM']","Ethics and the Good Life","Research",2007,19
"326",57955,1,499,"['ID']","This course provides an examination and application of the key content, skills, and perspectives of human geography. The lens of the geographer focuses on the spatial distribution of phenomena over the surface of the earth, asking the questions ""where"" and ""why there."" The practices and skills of geography are used to investigate a variety of issues in the Middle East, including environmental problems, the culture and management of sacred places, and the reasons for war and the need for peace.","",NA,"",NA,"['Robert W. McClure']",200,"['Mod 4', 'Mod 4']","Human Geography","",234,"False","False","",3,"C",20073,"['T 0120-0245PM', 'Th 0215-0335PM']","Human Geography of the Middle East","Research",2007,35
