"","clbid","credits","crsid","departments","description","gereqs","groupid","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"3",78388,1,11,"['AMST']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"4",78389,1,68,"['ART']","","",NA,"['Mary Griep']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,1
"5",78390,1,73,"['ART']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,0
"6",78391,1,93,"['ASIAN']","","",NA,"['Robert Entenmann']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,1
"7",78392,1,96,"['ASIAN']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,0
"12",78397,1,233,"['CLASS']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,0
"13",78398,1,235,"['CLASS']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,0
"14",78399,1,248,"['CHIN']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,0
"15",78400,1,251,"['CHIN']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,0
"16",78401,1,276,"['ECON']","","",NA,"['Steve Soderlind']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,2
"17",78402,1,284,"['ECON']","Academic Internship.","",NA,"['Steve Soderlind']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,1
"20",78405,1,313,"['EDUC']","","",NA,"['Maria L. Kelly']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,1
"21",78406,1,344,"['EDUC']","","",NA,"['Maria L. Kelly']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","Internship","Research",2011,1
"22",78407,1,374,"['DANCE']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"23",78408,1,377,"['DANCE']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"24",78409,1,433,"['ENGL']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"25",78410,1,449,"['ENGL']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"26",78411,1,464,"['ENVST']","","",NA,"['Jan C. Hill', 'Paul T. Jackson']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","Internship","Research",2011,1
"27",78412,1,466,"['ENVST']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"28",78413,1,490,"['FREN']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,0
"29",78414,1,494,"['FREN']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,0
"30",78415,1,522,"['GERM']","Students spend four weeks during Interim or summer in an individually selected German or Austrian workplace. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Prerequisite: at least one 250-level course.","",NA,"['Staff']",200,"","Academic Internship","",294,"True","Prerequisite: at least one 250-level course.","",2,"C",20112,"","Internship","Research",2011,0
"31",78416,1,529,"['GERM']","Students spend four weeks during Interim or summer in the German or Austrian workplace. Opportunities include working in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability of host institutions. Prerequisite: at least one 270-level cou","",NA,"['Staff']",300,"","Academic Internship","",394,"True","Prerequisite: at least one 270-level cou","",2,"C",20112,"","Internship","Research",2011,0
"32",78417,1,543,"['GREEK']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","","Research",2011,0
"33",78418,1,550,"['GREEK']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","Academic Inernship","Research",2011,0
"34",78419,1,624,"['HIST']","","",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"35",78420,1,640,"['HIST']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","Internship","Research",2011,0
"38",78423,1,653,"['FAMST']","","",NA,"['Devyani Chandran']",200,"","Academic Internship","",294,"True","False","",2,"C",20112,"","Internship","Research",2011,1
"39",78424,1,656,"['FAMST']","","",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,0
"40",78425,1,686,"['IS']","","",NA,"['Staff']",200,"['TOH 200']","Academic Internship","",294,"True","False","",2,"C",20112,"['MWF 0900-1230PM']","","Research",2011,0
"41",78426,1,691,"['IS']","","",NA,"['Douglas J. Beussman']",300,"","Academic Internship","",394,"True","False","",2,"C",20112,"","","Research",2011,1
