"","clbid","credits","crsid","departments","description","gereqs","groupid","grouptype","halfcredit","instructors","level","locations","name","notes","number","pn","prerequisites","section","semester","status","term","times","title","type","year","enrolled"
"4",57498,1,747,"['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","",NA,"",NA,"['Mike Weimerskirch']",200,"['SC 182']","Abstract Algebra I","",252,"False","Prerequisite: Mathematics 220. Offered both semesters.","A",3,"C",20073,"['MWF 1150-1245PM']","","Research",2007,16
"5",57499,1,747,"['MATH']","Algebra is concerned with sets of objects and operations on these sets. In an axiomatic or abstract treatment one assumes basic properties and then deduces many other properties. Using this method we study structures known as groups, rings and fields. Prerequisite: Mathematics 220. Offered both semesters.","",NA,"",NA,"['Kay E. Smith']",200,"['SC 130']","Abstract Algebra I","",252,"False","Prerequisite: Mathematics 220. Offered both semesters.","B",3,"C",20073,"['MWF 1255-0150PM']","","Research",2007,20
"6",57501,1,11,"['AMST']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"7",57502,1,68,"['ART']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"8",57503,1,73,"['ART']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","","Research",2007,0
"9",57504,1,93,"['ASIAN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"10",57505,1,96,"['ASIAN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","","Research",2007,0
"11",57506,1,153,"['BIO']","Internships are designed to provide career-testing opportunities. Students interested in an internship should consult with the Center for Experiential Learning, enlist a faculty sponsor, and complete an internship application.","",NA,"",NA,"['Eugene Bakko']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,1
"12",57507,1,174,"['BIO']","Biology 394 is for students who have completed one internship (Biology 294) and wish to perform a second internship. Students interested in an internship should consult with the Center for Experiential Learning, locate a faculty sponsor, and complete an internship form.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"13",57508,1,204,"['CHEM']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"14",57509,1,222,"['CHEM']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"15",57510,1,233,"['CLASS']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"16",57511,1,235,"['CLASS']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","","Research",2007,0
"17",57512,1,248,"['CHIN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"18",57513,1,251,"['CHIN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","","Research",2007,0
"19",57514,1,276,"['ECON']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"20",57515,1,284,"['ECON']","Academic Internship.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","","Research",2007,0
"21",57516,1,299,"['CSCI']","This is an intermediate-level version of Computer Science 394.","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"22",57517,1,306,"['CSCI']","Students gain experience in computer-industry positions. Projects have included implementation of solid modeling (NURBS), documentation, business applications of computing, applications of computer graphics in medical research, team programming. Internship experiences (whether for credit or not) are strongly encouraged for anyone considering a career in computing.","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"23",57518,1,313,"['EDUC']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"24",57519,1,344,"['EDUC']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"25",57520,1,374,"['DANCE']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"26",57521,1,377,"['DANCE']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"27",57522,1,433,"['ENGL']","","",NA,"",NA,"['Carol Holly']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,1
"28",57523,1,449,"['ENGL']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"29",57524,1,464,"['ENVST']","","",NA,"",NA,"['Eugene Bakko']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","Internship","Research",2007,1
"30",57525,1,466,"['ENVST']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","Internship","Research",2007,0
"31",57526,1,490,"['FREN']","","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","False","",3,"O",20073,"","","Research",2007,0
"32",57527,1,494,"['FREN']","","",NA,"",NA,"['Staff']",300,"","Academic Internship","",394,"True","False","",3,"O",20073,"","","Research",2007,0
"33",57528,1,522,"['GERM']","Students spend four weeks during Interim or summer break interning in Germany. Opportunities include work in health care, communications, and manufacturing as well as non-profit organizations, libraries, businesses, laboratories, offices, and churches. Assignment of position varies with availability in host institutions. Prerequisite: at least one 250-level course.","",NA,"",NA,"['Staff']",200,"","Academic Internship","",294,"True","Prerequisite: at least one 250-level course.","",3,"O",20073,"","Internship","Research",2007,0
